주체	관계유형	대상
다른 법률의 특별한 규정	우선함	이 법
다른 법률의 특별한 규정	우선함	이 법
온라인소액투자중개업자 등록	근거함	이 법
온라인소액투자중개업자 등록	근거함	이 법
온라인소액투자중개업자 등록	근거함	이 법
금융투자상품거래청산업인가	근거함	이 법
금융투자상품거래청산업인가	근거함	이 법
이 법	정의함	자본시장의 공정성ㆍ신뢰성 및 효율성을 높여 국민경제의 발전에 이바지함
이 법	정의함	자본시장의 공정성ㆍ신뢰성 및 효율성을 높여 국민경제의 발전에 이바지함
이 법	정의함	금융혁신과 공정한 경쟁을 촉진함
이 법	정의함	금융혁신과 공정한 경쟁을 촉진함
이 법	정의함	투자자를 보호함
이 법	정의함	투자자를 보호함
이 법	정의함	금융투자업을 건전하게 육성함
이 법	정의함	금융투자업을 건전하게 육성함
이 법	요구함	국외에서 이루어진 행위로서 그 효과가 국내에 미치는 경우에 적용될 것
이 법	요구함	국외에서 이루어진 행위로서 그 효과가 국내에 미치는 경우에 적용될 것
특정 신탁	정의함	제78조제1항에 따른 수익증권발행신탁이 아닌 신탁으로서 다음 각 목의 어느 하나에 해당하는 신탁
특정 신탁 정의 (조항 번호 미상)	참조함	제78조제1항
특정 신탁의 수익권	정의함	관리형신탁의 수익권
제3조	정의함	금융투자상품
제3조	정의함	금융투자상품
제3조	정의함	금융투자상품
제3조	정의함	금융투자상품
제3조	정의함	금융투자상품
증권	근거함	금융투자상품
증권	근거함	금융투자상품
증권	근거함	금융투자상품
증권	근거함	금융투자상품
증권	근거함	금융투자상품
증권	근거함	금융투자상품
증권	근거함	금융투자상품
증권	근거함	금융투자상품
증권	근거함	금융투자상품
증권	근거함	금융투자상품
금융투자상품	위임함	대통령령
제3조	위임함	대통령령
제3조	위임함	대통령령
제3조	위임함	대통령령
제3조	위임함	대통령령
제3조	위임함	대통령령
기업어음증권	위임함	대통령령
기업어음증권	위임함	대통령령
기업어음증권	위임함	대통령령
기업어음증권	위임함	대통령령
기업어음증권	위임함	대통령령
기업어음증권	위임함	대통령령
기업어음증권	위임함	대통령령
기업어음증권	위임함	대통령령
기업어음증권	위임함	대통령령
기업어음증권	위임함	대통령령
제5조제1항 단서	위임함	대통령령
제5조제1항 단서	위임함	대통령령
제5조제1항 단서	위임함	대통령령
제5조제1항 단서	위임함	대통령령
제5조제1항 단서	위임함	대통령령
제5조제1항 단서	위임함	대통령령
제5조제1항 단서	위임함	대통령령
제5조제2항제2호	위임함	대통령령
제5조제2항제2호	위임함	대통령령
제5조제2항제2호	위임함	대통령령
제5조제2항제2호	위임함	대통령령
제5조제2항제2호	위임함	대통령령
제5조제2항제2호	위임함	대통령령
제5조제2항제2호	위임함	대통령령
제5조제1항제4호	위임함	대통령령
제5조제1항제4호	위임함	대통령령
제5조제1항제4호	위임함	대통령령
제5조제1항제4호	위임함	대통령령
제5조제1항제4호	위임함	대통령령
제5조제1항제4호	위임함	대통령령
제5조제1항제4호	위임함	대통령령
제6조	위임함	대통령령
제6조	위임함	대통령령
제6조	위임함	대통령령
제6조	위임함	대통령령
제6조	위임함	대통령령
제6조	위임함	대통령령
제6조	위임함	대통령령
제6조	위임함	대통령령
제77조의3	위임함	대통령령
제77조의3	위임함	대통령령
제77조의3	위임함	대통령령
제77조의3	위임함	대통령령
제77조의3	위임함	대통령령
제77조의3	위임함	대통령령
제77조의3	위임함	대통령령
제77조의3	위임함	대통령령
제77조의3	위임함	대통령령
제77조제1항	위임함	대통령령
제6조제4항	위임함	대통령령
제6조제4항	위임함	대통령령
제6조제4항	위임함	대통령령
제6조제4항	위임함	대통령령
제6조제4항	위임함	대통령령
제6조제4항	위임함	대통령령
제6조제4항	위임함	대통령령
제6조제4항	위임함	대통령령
제6조제6항	위임함	대통령령
제6조제6항	위임함	대통령령
제6조제6항	위임함	대통령령
제6조제6항	위임함	대통령령
제6조제6항	위임함	대통령령
제6조제6항	위임함	대통령령
제6조제6항	위임함	대통령령
제6조제6항	위임함	대통령령
제4호	위임함	대통령령
제2조제3호	위임함	대통령령
제2조제3호	위임함	대통령령
제2조제3호	위임함	대통령령
제2조	위임함	대통령령
제2조	위임함	대통령령
제2조	위임함	대통령령
제2조	위임함	대통령령
제2조	위임함	대통령령
제2조	위임함	대통령령
제2조	위임함	대통령령
제2조	위임함	대통령령
제2조	위임함	대통령령
제2조	위임함	대통령령
제2조	위임함	대통령령
제2조	위임함	대통령령
제9조 제5항	위임함	대통령령
제9조 제5항	위임함	대통령령
제9조 제5항	위임함	대통령령
제9조 제5항	위임함	대통령령
제9조 제5항	위임함	대통령령
제9조 제5항	위임함	대통령령
