subject,relation,relation_category,object,article_number,confidence,concepts,created_at
이 법,정의함,LOGICAL,"실지명의에 의한 금융거래의 실시와 그 비밀 보장, 금융거래의 정상화, 경제정의 실현, 국민경제의 건전한 발전",Unknown,0.96,실지명의|금융거래|비밀 보장|경제정의|국민경제 발전,2026-04-15
금융회사등,정의함,LOGICAL,다음 각 목의 것을 말한다,제2조,0.99,금융회사등|은행법|중소기업은행법|한국산업은행법|한국수출입은행법|한국은행법|자본시장과 금융투자업에 관한 법률|상호저축은행법|농업협동조합법|수산업협동조합법|신용협동조합법|새마을금고법|보험업법|우체국예금ㆍ보험에 관한 법률|대통령령,2026-04-15
금융자산,정의함,LOGICAL,금융회사등이 취급하는 예금ㆍ적금ㆍ부금ㆍ계금ㆍ예탁금ㆍ출자금ㆍ신탁재산ㆍ주식ㆍ채권ㆍ수익증권ㆍ출자지분ㆍ어음ㆍ수표ㆍ채무증서 등 금전 및 유가증권과 그 밖에 이와 유사한 것으로서 총리령으로 정하는 것을 말한다,제2조,0.99,금융자산|금융회사등|예금|적금|부금|계금|예탁금|출자금|신탁재산|주식|채권|수익증권|출자지분|어음|수표|채무증서|총리령,2026-04-15
금융거래,정의함,LOGICAL,"금융회사등이 금융자산을 수입ㆍ매매ㆍ환매ㆍ중개ㆍ할인ㆍ발행ㆍ상환ㆍ환급ㆍ수탁ㆍ등록ㆍ교환하거나 그 이자, 할인액 또는 배당을 지급하는 것과 이를 대행하는 것 또는 그 밖에 금융자산을 대상으로 하는 거래로서 총리령으로 정하는 것을 말한다",제2조,0.99,금융거래|금융회사등|금융자산|수입|매매|환매|중개|할인|발행|상환|환급|수탁|등록|교환|이자|할인액|배당|대행|총리령,2026-04-15
실지명의,정의함,LOGICAL,"주민등록표상의 명의, 사업자등록증상의 명의, 그 밖에 대통령령으로 정하는 명의를 말한다",제2조,0.99,실지명의|주민등록표|사업자등록증|대통령령,2026-04-15
금융회사등,요구함,ACTION,실명으로 금융거래,제3조,0.99,금융실명거래|실명,2026-04-15
금융회사등,허용함,ACTION,실명 확인을 하지 않음,제3조,0.98,예외|실명 확인,2026-04-15
금융회사등,예외로함,LOGICAL,실명이 확인된 계좌에 의한 계속거래·공과금 수납·100만원 이하 송금 등 대통령령이 정하는 거래,제3조,0.97,계속거래|공과금 수납|소액 송금,2026-04-15
금융회사등,예외로함,LOGICAL,외국통화 매입·외국통화 표시 예금·채권 매도 등 대통령령이 정하는 기간 동안의 거래,제3조,0.96,외국통화 매입|외국통화 표시 예금|외국통화 표시 채권,2026-04-15
금융회사등,예외로함,LOGICAL,특정채권(재정경제부장관이 정하는 발행조건) 거래,제3조,0.96,특정채권|발행조건|채권 거래,2026-04-15
외국환평형기금 채권,정의함,LOGICAL,외국통화로 표시된 채권,제13조,0.99,외국환평형기금 채권|외국통화로 표시된 채권,2026-04-15
외국환평형기금 채권,정의함,LOGICAL,대통령령으로 정하는 채권,제13조,0.99,외국환평형기금 채권|대통령령으로 정하는 채권|중소기업 구조조정 지원,2026-04-15
외국환평형기금 채권,참조함,STRUCTURE,자본시장과 금융투자업에 관한 법률,제13조,0.9,외국환평형기금 채권|자본시장과 금융투자업에 관한 법률,2026-04-15
채권,정의함,LOGICAL,증권금융회사가 발행한 사채,제329조,0.96,증권금융회사|발행|사채,2026-04-15
채권,정의함,LOGICAL,"대통령령으로 정하는, 국민생활 안정과 국민경제의 건전한 발전을 위하여 발행되는 채권",제329조,0.92,대통령령|국민생활 안정|국민경제|발행,2026-04-15
채권,참조함,STRUCTURE,특정 금융거래정보의 보고 및 이용 등에 관한 법률,제329조,0.88,특정 금융거래정보|법률,2026-04-15
금융회사등에 종사하는 자,금지함,ACTION,타인의 실명으로 금융거래를 함,제2조,0.97,실명거래 금지|불법재산 은닉|자금세탁,2026-04-15
금융회사등에 종사하는 자,금지함,ACTION,제3항에 따른 금융거래를 알선하거나 중개함,제2조,0.96,알선 금지|중개 금지,2026-04-15
실명이 확인된 계좌에 보유하고 있는 금융자산,추정함,LOGICAL,명의자의 소유,제2조,0.94,소유 추정|실명 확인,2026-04-15
금융회사등,요구함,ACTION,제3항의 주요 내용을 거래자에게 설명함,제2조,0.95,설명 의무|거래자,2026-04-15
실명거래의 확인 방법 및 절차 등,위임함,STRUCTURE,대통령령,제2조,0.9,대통령령 규정|확인 방법,2026-04-15
금융회사 종사자,금지함,ACTION,거래정보등을 제공하거나 누설하는 행위,제4조,0.96,거래정보 비밀보장,2026-04-15
누구든지,금지함,ACTION,거래정보등의 제공을 요구하는 행위,제4조,0.94,거래정보 비밀보장,2026-04-15
법원의 제출명령 또는 법관이 발부한 영장에 따른 거래정보등의 제공,예외로함,LOGICAL,거래정보등을 제공하거나 그 제공을 요구하는 행위,제4조,0.92,예외,2026-04-15
조세에 관한 법률에 따라 제출의무가 있는 과세자료 등의 제공,예외로함,LOGICAL,거래정보등을 제공하거나 그 제공을 요구하는 행위,제4조,0.92,예외,2026-04-15
거래 정보 제공,요구함,ACTION,"체납자의 배우자(사실상 혼인관계에 있는 사람 포함), 6촌 이내 혈족, 4촌 이내 인척, 국정조사에 필요한 자료",제9조제1항,0.95,거래 정보 제공|체납자|배우자|혈족|인척|국정조사,2026-04-15
금융감독원의 원장,정의함,LOGICAL,제24조에 따른 금융감독원의 원장,제24조,0.96,정의,2026-04-15
금융감독원의 원장,참조함,STRUCTURE,제24조,제24조,0.92,참조,2026-04-15
예금보험 공사사장,정의함,LOGICAL,제24조에 따른 예금보험 공사사장,제24조,0.9,정의,2026-04-15
예금보험 공사사장,참조함,STRUCTURE,제24조,제24조,0.88,참조,2026-04-15
