subject,relation,relation_category,object,article_number,confidence,concepts,created_at
투자조언업,요구함,ACTION,전자적 투자조언장치의 요건,제2조제6호다목,0.95,금융위원회가 정하여 고시하는 요건,2026-04-28
투자조언업,요구함,ACTION,주기적으로 점검할 것,제2조제6호다목,0.9,점검 요건,2026-04-28
전자적 투자조언장치,정의함,LOGICAL,금융위원회가 정하여 고시하는 요건,제2조제6호다목,0.9,요건 정의,2026-04-28
전문인력,정의함,LOGICAL,전문인력,제2조제6호가목2,0.9,전문인력|정의,2026-04-28
전문인력,요구함,ACTION,1인 이상,제2조제6호가목2,0.85,전문인력|요구|인원,2026-04-28
심의위원회,수행,ACTION,요건 심사 절차,제2조제6호가목부터 다목까지,0.95,심의위원회|요건 심사 절차,2026-04-28
심의위원회,구성된,STRUCTURE,외부전문가,제2조제6호가목부터 다목까지,0.85,심의위원회|외부전문가,2026-04-28
심의위원회,지원받아,ACTION,㈜코스콤,제2조제6호가목부터 다목까지,0.9,심의위원회|㈜코스콤,2026-04-28
요건 심사 절차,정의함,LOGICAL,제2조제6호가목부터 다목까지,제2조제6호가목부터 다목까지,0.9,요건 심사 절차|제2조제6호가목부터 다목까지,2026-04-28
기초자산,정하는,LOGICAL,금융투자상품,제4조의3제1호,1.0,정하는|기초자산 정의,2026-04-28
기초자산,정하는,LOGICAL,통화(외국통화를 포함한다),제4조의3제1호,1.0,정하는|기초자산 정의,2026-04-28
기초자산,정하는,LOGICAL,일반상품(법 ... ),제4조의3제1호,1.0,정하는|기초자산 정의,2026-04-28
일반상품,말한다,LOGICAL,제4조제10항제3호에 따른 일반상품,4,0.95,정의함|일반상품,2026-04-28
일반상품,참조함,STRUCTURE,제4조제10항제3호,4,0.9,참조|제4조제10항제3호,2026-04-28
신용위험,정의함,LOGICAL,신용위험,제4조제10항제4호,0.95,신용위험 정의,2026-04-28
최대원금손실 가능금액,정의함,LOGICAL,금융위원회가 정하여 고시하는 방법으로 산정한 금액,제2조제7호,0.95,정의|산정방법,2026-04-28
파생결합증권,정의함,LOGICAL,제2조제7호 가목,제2조제7호 가목,0.95,파생결합증권 정의,2026-04-28
파생결합증권,참조함,STRUCTURE,제2조제7호 가목,제2조제7호 가목,0.9,파생결합증권 참조,2026-04-28
파생상품,정의함,LOGICAL,해당 금융투자상품의 매매 또는 계약을 위하여 지급하였거나 지급하여야 할 금전 등의 총액,제2조제7호 나목,0.85,파생상품|금전 총액,2026-04-28
총액,예외로함,LOGICAL,금액,제3조제1항,0.9,총액|금액,2026-04-28
각 호의 금액,포함한다,ACTION,금액 2. 영,제3조제2항,0.85,금액|포함,2026-04-28
다목에 따른 집합투자증권,정의함,LOGICAL,집합투자재산 중 영,제2조제7호,0.9,다목에 따른 집합투자증권|집합투자재산,2026-04-28
