subject	relation	relation_category	object	article_number	confidence	concepts	created_at
목적	정의함	LOGICAL	금융회사의 지배구조에 관한 기본적인 사항을 정함으로써 금융회사의 건전한 경영과 금융시장의 안정성을 기하고, 예금자, 투자자, 보험계약자, 그 밖의 금융소비자를 보호하는 것	제1조	0.95	목적|금융회사의 지배구조|건전한 경영|금융시장의 안정성|금융소비자 보호	2026-05-21
금융회사의 지배구조	정의함	LOGICAL	이 법은 금융회사의 지배구조에 관한 기본적인 사항을 정함	제1조	0.9	금융회사의 지배구조|이 법|기본적인 사항	2026-05-21
금융회사	정의함	LOGICAL	다음 각 목의 어느 하나에 해당하는 회사를 말한다. 가. 「은행법」에 따른 인가를 받아 설립된 은행 나. 「자본시장과 금융투자업에 관한 법률」에 따른 금융투자업자 및 종합금융회사 다. 「보험업법」에 따른 보험회사 라. 「상호저축은행법」에 따른 상호저축은행 마. 「여신전문금융업법」에 따른 여신전문금융회사 바. 「금융지주회사법」에 따른 금융지주회사 사. 그 밖의 법률에 따라 금융업무를 하는 회사로서 대통령령으로 정하는 회사	제2조	0.97	정의|금융회사	2026-05-21
임원	정의함	LOGICAL	이사, 감사, 집행임원(「상법」에 따른 집행임원을 둔 경우로 한정한다) 및 업무집행책임자를 말한다.	제2조	0.97	정의|임원	2026-05-21
이사	정의함	LOGICAL	사내이사, 사외이사 및 그 밖에 상시적인 업무에 종사하지 아니하는 이사(이하 “비상임이사”라 한다)를 말한다.	제2조	0.97	정의|이사	2026-05-21
사외이사	정의함	LOGICAL	상시적인 업무에 종사하지 아니하는 이사로서	제2조	0.97	정의|사외이사	2026-05-21
업무집행책임자	정의함	LOGICAL	이사가 아니면서 명예회장ㆍ회장ㆍ부회장ㆍ사장ㆍ부사장ㆍ행장ㆍ부행장ㆍ부행장보ㆍ전무ㆍ상무ㆍ이사 등 업무를 집행할 권한이 있는 것으로 인정될 만한 명칭을 사용하여 금융회사의 업무를 집행하는 사람	제17조	0.95	정의|업무집행책임자	2026-05-21
대주주	정의함	LOGICAL	다음 각 목의 어느 하나에 해당하는 주주를 말한다. 가. 금융회사의 의결권 있는 발행주식(출자지분을 포함한다. 이하 같다) 총수를 기준으로 본인 및 그와 대통령령으로 정하는 특수한 관계가 있는 자(이하 “특수관계인”이라 한다)가 누구의 명의로 하든지 자기의 계산으로 소유하는 주식(그 주식과 관련된 증권예탁증권을 포함한다)을 합하여 그 수가 가장 많은 경우의 그 본인(이하 “최대주주”라 한다) 나. 다음 각 1) 및 2)의 어느 하나에 해당하는 자(이하 “주요주주”라 한다) 1) 누구의 명의로 하든지 자기의 계산으로 금융회사의 의결권 있는 발행주식 총수의 100분의 10 이상의 주식(그 주식과 관련된 증권예탁증권을 포함한다)을 소유한 자 2) 임원(업무집행책임자는 제외한다)의 임면(任免) 등의 방법으로 금융회사의 중요한 경영사항에 대하여 사실상 영향력을 행사하는 주주로서 대통령령으로 정하는 자	제17조	0.92	정의|대주주	2026-05-21
금융관계법령	정의함	LOGICAL	대통령령으로 정하는 금융 관계 법령 및 이에 상당하는 외국의 금융 관계 법령을 말한다	제17조	0.9	정의|금융관계법령	2026-05-21
자	금지함	ACTION	이 법	제3조	0.95	적용 제외	2026-05-21
적용 제외	정의함	LOGICAL	다음 각 호의 어느 하나에 해당하는 자에게는 이 법을 적용하지 아니한다	제3조	0.9	적용 제외|제외 대상	2026-05-21
겸영금융투자업자	정의함	LOGICAL	제8조제9항에 따른 겸영금융투자업자 중 대통령령으로 정하는 자 3. 「자본시장과 금융투자업에 관한 법률」	제8조제9항	0.95	정의|겸영금융투자업자	2026-05-21
겸영금융투자업자	참조함	STRUCTURE	제8조제9항	제8조제9항	0.9	참조|제8조제9항	2026-05-21
외국금융회사	정의함	LOGICAL	외국의 법령에 따라 설립되어 외국에서 금융업을 영위하는 자	제100조제1항	0.95	외국금융회사 정의	2026-05-21
제5조	정의함	LOGICAL	정의 없음	제5조	0.5	제5조|정의 없음	2026-05-21
대표자	정의함	LOGICAL	임원	제7조	0.95	임원 정의|대표자	2026-05-21
대통령령으로 정하는 사람	정의함	LOGICAL	임원	제7조	0.95	임원 정의|대통령령 지정인	2026-05-21
제7조	참조함	STRUCTURE	제4장 및 제7장	제7조	0.9	제7조 적용|제4장 및 제7장	2026-05-21
제12조제1항 및 같은 조 제2항	참조함	STRUCTURE	제12조	제12조제1항	0.6	제12조	2026-05-21
이사회 구성 및 운영	참조함	STRUCTURE	제14조	제14조	0.95	이사회 구성 및 운영|제14조	2026-05-21
이사회	설치	ACTION	위원회	제16조	0.95	위원회 설치|이사회내 위원회	2026-05-21
위험관리위원회	정의함	LOGICAL	위험관리위원회에 관한 사항 4.	21	0.9	위험관리위원회|정의	2026-05-21
위험관리위원회	참조함	STRUCTURE	제21조	21	0.95	위험관리위원회|제21조	2026-05-21
보수위원회 및 보수체계	참조함	STRUCTURE	제22조	제22조에 따른 보수위원회 및 보수체계 등에 관한 사항 4의2	0.95	보수위원회 및 보수체계|제22조	2026-05-21
내부통제위원회	정의함	LOGICAL	제22조의2에 따른 내부통제위원회에 관한 사항 5	제22조의2	0.95	내부통제위원회|제22조의2	2026-05-21
소수주주권	정의함	LOGICAL	보험업법 제33조에 따른 소수주주권	제33조	0.95	정의|소수주주권	2026-05-21
소수주주권	상위조항	STRUCTURE	제33조	제33조	0.9	제33조|상위조항	2026-05-21
소수주주권	근거함	STRUCTURE	보험업법	제33조	0.85	보험업법|근거	2026-05-21
보험회사	행사	ACTION	소수사원권	제2조제7호	0.9	소수사원권 정의|보험회사의 행사	2026-05-21
금융회사의 지배구조	따르다	ACTION	이 법	제4조	0.95	지배구조|특별한 규정이 있는 경우를 제외하고는	2026-05-21
금융회사의 지배구조	적용한다	ACTION	상법	제4조	0.95	지배구조|특별한 규정이 없으면	2026-05-21
사람	금지함	ACTION	임원이 되다	제5조	0.95	임원 자격요건|금지	2026-05-21
적기시정조치	참조함	STRUCTURE	제10조제1항	제10조제1항	0.95	적기시정조치|제10조제1항	2026-05-21
적기시정조치	정의함	LOGICAL	금융산업의 구조개선에 관한 법률	제10조제1항	0.9	적기시정조치|금융산업의 구조개선에 관한 법률	2026-05-21
임원	잃는다	ACTION	직	제14조제2항	0.95	임원|직을 잃는다	2026-05-21
임원	잃지 않는다	ACTION	직	제14조제2항	0.95	임원|직을 잃지 않는다|제1항제7호|대통령령으로 정하는 경우	2026-05-21
임원	정의함	STRUCTURE	업무집행책임자	제17조	0.9	임원|업무집행책임자|제17조	2026-05-21
임원	정의함	LOGICAL	제30조의2제1항	제30조의2제1항	0.95	임원|제30조의2제1항에 따른	2026-05-21
사람	요구함	ACTION	적합한 전문성, 업무경험, 정직성 및 신뢰성	제30조의3제1항	0.95	책무 수행 적합성|전문성|업무경험|정직성|신뢰성	2026-05-21
사외이사	금지함	ACTION	최대주주 및 그의 특수관계인	제6조	0.95	사외이사|최대주주|특수관계인	2026-05-21
사외이사	금지함	ACTION	주요주주 및 그의 배우자와 직계존속ㆍ비속	제6조	0.95	사외이사|주요주주|배우자|직계존속|비속	2026-05-21
사외이사	금지함	ACTION	해당 금융회사 또는 그 계열회사	제6조	0.95	사외이사|금융회사|계열회사	2026-05-21
사외이사	예외로함	LOGICAL	제1호에 따른 최대주주의 특수관계인	제6조	0.9	사외이사|제1호|최대주주|특수관계인	2026-05-21
사외이사	상실	ACTION	직	제2조제12호	0.95	사외이사 직위 상실 조건|제1항 각 호의 조건	2026-05-21
사외이사	요구함	ACTION	전문지식이 풍부한 사람	제2조제12호	0.9	전문지식|실무경험	2026-05-21
사외이사	요구함	ACTION	대통령령으로 정하는 사람	제2조제12호	0.9	대통령령|정하는 사람	2026-05-21
금융회사	요구함	ACTION	임원	제7조	0.95	임원 자격요건 보고|보고	2026-05-21
임원	요구함	ACTION	자격요건	제6조	0.95	자격요건|확인	2026-05-21
임원	요구함	ACTION	임원 선임	제30조의2제1항	0.8	임원 선임|임원	2026-05-21
금융회사	요구함	ACTION	인터넷 홈페이지에 공시	제30조의3제1항	0.95	공시|지체 없이	2026-05-21
금융회사	요구함	ACTION	금융위원회에 보고	제30조의3제1항	0.95	보고|지체 없이	2026-05-21
주요업무집행책임자	임면	ACTION	이사회	제8조	0.95	주요업무집행책임자|임면|이사회	2026-05-21
이사회	의결	ACTION	주요업무집행책임자 임면	제8조	0.9	이사회|의결|주요업무집행책임자	2026-05-21
주요업무집행책임자	임기제한	LOGICAL	3년	제8조	0.9	주요업무집행책임자|임기|3년	2026-05-21
주요업무집행책임자와 해당 금융회사의 관계	준용	STRUCTURE	민법 위임 규정	제8조	0.85	주요업무집행책임자|민법|위임 규정	2026-05-21
주요업무집행책임자	보고함	ACTION	이사회	제9조	0.99	이사회 보고|주요업무집행책임자	2026-05-21
상근 임원	금지함	ACTION	다른 영리법인의 상시적인 업무에 종사	제10조	0.99	겸직제한	2026-05-21
다음 각 호의 어 느 하나에 해당하는 경우	근거함	STRUCTURE	채무자 회생 및 파산에 관한 법률	제10조	0.95	예외|법적 근거	2026-05-21
상근 임원	허용함	ACTION	다른 영리법인의 상시적인 업무에 종사	제10조	0.95	겸직제한|예외	2026-05-21
제74조	근거함	STRUCTURE	금융산업의 구조개선에 관한 법률	제74조	0.95	제74조|금융산업의 구조개선에 관한 법률	2026-05-21
관리인	선임	ACTION	금융산업의 구조개선에 관한 법률	제74조	0.9	제74조|금융산업의 구조개선에 관한 법률	2026-05-21
금융회사의 상근 임원	허용함	ACTION	다른 회사의 상근 임직원	제10조제1항제4호	0.95	겸직|은행	2026-05-21
제10조제1항제4호	참조함	STRUCTURE	금융산업의 구조개선에 관한 법률	제10조제1항제4호	0.9	금융산업의 구조개선에 관한 법률	2026-05-21
금융기관의 상근 임직원	금지함	ACTION	겸직	제2조제1호	0.95	상근 임직원 겸직|금지	2026-05-21
은행의 임직원	예외로함	LOGICAL	한국은행, 다른 은행 또는 금융지주회사법에 따른 직위	제2조제1호	0.7	은행의 임직원|예외	2026-05-21
상근 임직원 겸직	정의함	LOGICAL	금융기관의 상근 임직원이 겸직하는 행위	제2조제1호	0.8	상근 임직원 겸직|정의	2026-05-21
은행지주회사의 임직원	금지함	ACTION	겸직	제2조제1항제5호	0.95	겸직|은행지주회사의 임직원	2026-05-21
은행지주회사의 임직원	예외로함	LOGICAL	은행법	제2조제1항제5호	0.9	은행법|예외	2026-05-21
자은행의 임직원	허용함	ACTION	겸직	제37조제5항	0.95	겸직|자은행의 임직원	2026-05-21
제1항제3호	제외함	ACTION	제6조	6	0.9	제1항제3호|제외	2026-05-21
금융지주회사 및 그 자회사	적용받는다	ACTION	제6조	6	0.85	금융지주회사|자회사|제1항|제3항|제외	2026-05-21
임직원	허용함	ACTION	금융지주회사의 임직원이 해당 금융지주회사의 자회사등의 임직원을 겸직하는 경우	제4조제1항제2호	0.9	겸직|금융지주회사|자회사	2026-05-21
임직원	허용함	ACTION	금융지주회사의 자회사등의 임직원이 다른 자회사등의 임직원을 겸직하는 경우로서 다 음 각 목의 어느 하나의 업무를 겸직하지 아니하는 경우	제4조제1항제2호	0.9	겸직|자회사|업무	2026-05-21
집합투자업	정의함	LOGICAL	제6조제4항	제6조제4항	0.9	집합투자업 정의|제6조제4항	2026-05-21
집합투자업	예외로함	LOGICAL	대통령령으로 정하는 경우	제6조제4항	0.8	예외|대통령령	2026-05-21
집합투자업	참조함	STRUCTURE	보험업법	제6조제4항	0.85	참조|보험업법	2026-05-21
금융회사	허용함	ACTION	임직원	제11조	0.7	겸직 승인	2026-05-21
다른 회사의 임직원을 겸직하려는 경우	승인을요구함	ACTION	금융위원회의 승인	Unknown	0.9	겸직기준|대통령령|금융회사의 건전성	2026-05-21
다른 회사의 임직원을 겸직하려는 경우	보고해야 한다	ACTION	금융위원회	Unknown	0.85	이해상충|금융회사의 건전성|대통령령	2026-05-21
다른 회사의 임직원을 겸직하려는 경우	보고해야 한다	ACTION	업무의 범위	Unknown	0.8	업무의 범위|대통령령	2026-05-21
다른 회사의 임직원을 겸직하려는 경우	보고해야 한다	ACTION	업무 처리 기록 유지	Unknown	0.8	업무 처리 기록 유지|대통령령	2026-05-21
다른 회사의 임직원을 겸직하려는 경우	보고해야 한다	ACTION	이해상충 방지 및 금융회사의 건전성 유지를 위한 필요 사항	Unknown	0.8	이해상충 방지|금융회사의 건전성|대통령령	2026-05-21
금융회사	보고	ACTION	금융위원회	제10조	0.95	보고|제10조	2026-05-21
금융위원회	제한하거나 시정 명할 수 있다	ACTION	해당 임직원 겸직	제10조	0.9	제한|시정|제10조	2026-05-21
금융지주회사와 해당 자회사등	책임이 있다	ACTION	손해	제10조	0.85	연대배상|임직원 겸직	2026-05-21
금융지주회사와 해당 자회사등	예외로함	LOGICAL	다음 각 호의 어느 하 법제처 5 국가법령정보센터 금융회사의 지배구조에 관한 법률 나에 해당하는 경우	제10조	0.85	예외|연대배상	2026-05-21
금융지주회사와 해당 자회사등	예외로함	LOGICAL	이해상충 발생 가능성에 대하여 상당한 주의	제10조	0.8	예외|이해상충	2026-05-21
금융회사	두어야 한다	ACTION	사외이사 3명 이상	제12조	0.98	사외이사 3명 이상|이사회 구성	2026-05-21
사외이사의 수	정의함	LOGICAL	이사 총수의 과반수	제12조	0.95	사외이사 수|이사 총수 과반수	2026-05-21
대통령령으로 정하는 금융회사의 경우	예외로함	LOGICAL	이사 총수의 4분의 1 이상을 사외이사로 하여야 한다	제12조	0.9	대통령령 정의 금융회사|사외이사 비율 1/4 이상	2026-05-21
금융회사	두어야 한다	ACTION	주주총회 소집	제12조	0.85	사외이사 수 감소|주주총회 소집	2026-05-21
상호회 사인 보험회사	포함	STRUCTURE	사원총회	제2조제7호	0.95	사원총회 포함	2026-05-21
상호회 사인 보험회사	조치해야 한다	ACTION	제1항 및 제2항에 따른 요건	제2조제7호	0.9	요구함|제1항 및 제2항 요건	2026-05-21
상호회 사인 보험회사	참조함	STRUCTURE	제2조	제2조제7호	0.85	제2조 참조	2026-05-21
이사회	요구함	ACTION	이사회 의장 선임	제13조	0.95	이사회 의장 선임	2026-05-21
이사회	허용함	ACTION	사외이사가 아닌 자를 이사회 의장으로 선임	제13조	0.9	이사회 의장 선임|사외이사가 아닌 자	2026-05-21
이사회	요구함	ACTION	그 사유를 공시하고 선임사외이사를 별도 선임	제13조	0.9	공시|선임사외이사 선임	2026-05-21
선임사외이사	요구함	ACTION	사외이사 전원으로 구성되는 사외이사회의 소집 및 주재	제13조	0.9	사외이사회의 소집|주재	2026-05-21
선임사외이사	요구함	ACTION	사외이사의 효율적인 업무수행 지원	제13조	0.9	업무 지원|효율성	2026-05-21
선임사외이사	요구함	ACTION	사외이사의 책임성 제고 지원	제13조	0.9	책임성 제고|지원	2026-05-21
금융회사 및 그 임직원	요구함	ACTION	선임사외이사가 제3항에 따른 업무를 원활하게 수행	제13조	0.9	협조|업무 수행	2026-05-21
지배구조내부규범	정의함	LOGICAL	구체적인 원칙과 절차	14	0.9	지배구조내부규범|정의|원칙과 절차	2026-05-21
금융회사	요구함	ACTION	지배구조내부규범	14	0.95	금융회사|지배구조내부규범|제정	2026-05-21
지배구조내부규범에 규정하여야 할 세부사항과 그 밖에 필요한 사항	정한다	ACTION	대통령령	14	0.95	지배구조내부규범|대통령령|정의	2026-05-21
금융회사	공시하여야 한다	ACTION	지배구조내부규범을 제정하거나 변경한 경우 그 내용	14	0.95	금융회사|공시|지배구조내부규범	2026-05-21
금융회사	공시하여야 한다	ACTION	매년 지배구조내부규범에 따라 이사회 등을 운영한 현황	14	0.95	금융회사|공시|운영 현황	2026-05-21
이사회	요구함	ACTION	경영목표 및 평가에 관한 사항	제15조	0.95	이사회의 심의ㆍ의결|경영목표 및 평가에 관한 사항	2026-05-21
