subject	relation	relation_category	object	article_number	confidence	concepts	created_at
이 영	규정함	ACTION	위임된 사항과 시행에 필요한 사항	제1조	0.95	목적	2026-05-20
금융회사의 지배구조에 관한 법률	정의함	LOGICAL	법	제2조	0.95	정의|법	2026-05-20
대통령령으로 정하는 회사	정의함	LOGICAL	한국산업은행	제2조제1호사목	0.95	정의|대통령령|회사	2026-05-20
대통령령으로 정하는 회사	정의함	LOGICAL	중소기업은행	제2조제1호사목	0.95	정의|대통령령|회사	2026-05-20
대통령령으로 정하는 회사	정의함	LOGICAL	농협은행	제2조제1호사목	0.95	정의|대통령령|회사	2026-05-20
대통령령으로 정하는 회사	정의함	LOGICAL	수협은행	제2조제1호사목	0.95	정의|대통령령|회사	2026-05-20
특수관계인	정의함	LOGICAL	법	제3조	0.95	특수관계인 정의|법	2026-05-20
특수관계인	정의함	LOGICAL	본인과 다음 각 호의 어느 하나에 해당하는 관계가 있는 자	제2조제6호가목	0.99	특수관계인 정의|본인과 관계	2026-05-20
은행	정의함	LOGICAL	은행	제2조	0.9	은행	2026-05-20
은행	참조함	STRUCTURE	은행법 시행령	제2조	0.8	은행법 시행령	2026-05-20
특수관계인	정의함	LOGICAL	금융지주회사	제1조의4	0.95	특수관계인|금융지주회사법 시행령	2026-05-20
특수관계인	삭제함	ACTION	특수관계인 3	제3조제1항	0.95	특수관계인|삭제	2026-05-20
특수관계인	참조함	STRUCTURE	제3조제1항	제3조제1항	0.9	제3조제1항|특수관계인	2026-05-20
주요주주의 범위	정의함	LOGICAL	법	제4조	0.95	정의|범위	2026-05-20
대통령령으로 정하는 자	정의함	LOGICAL	혼자서 또는 다른 주주와의 합의ㆍ계약 등에 따라 대표이사 또는 이사의 과반수를 선임한 주주	제2조제6호나목2	0.95	정의|대통령령으로 정하는 자	2026-05-20
대통령령으로 정하는 자	정의함	LOGICAL	다음 각 목의 구분에 따른 주주 가. 금융회사가 「자본시장과 금융투자업에 관한 법률」	제2조제6호나목2	0.9	정의|대통령령으로 정하는 자	2026-05-20
주주	정의함	LOGICAL	금융투자업자가 자본시장과 금융투자업에 관한 법률에 따른 투자자문업, 투자일임업, 집합투자업, 집합투자증권에 한정된 투자매매업·투자중개업 또는 온라인소액투자중개업 외의 다른 금융투자업을 겸영하지 아니하는 경우	제8조제1항	0.8	주주|금융투자업자|겸영하지 아니한다	2026-05-20
금융투자업자	금지함	ACTION	다른 금융투자업	제8조제1항	0.95	겸영하지 아니한다|금융투자업자	2026-05-20
자	정의함	LOGICAL	주주로서 의결권 있는 발행주식 총수의 100분의 5 이상을 소유하는 사람	제401조의2제1항	0.95	자|주주|의결권|발행주식|소유	2026-05-20
자	정의함	LOGICAL	임원인 주주로서 의결권 있는 발행주식 총수의 100분의 1 이상을 소유하는 사람	제401조의2제1항	0.95	자|임원|주주|의결권|발행주식|소유	2026-05-20
자	정의함	LOGICAL	금융투자업자가 「자본시장과 금융투자업에 관한 법률」에 따른 투자자문업, 투자일임업, 집합투자업, 집합투자 증권에 한정된 투자매매업ㆍ투자중개업 또는 온라인소액투자중개업 외의 다른 금융투자업을 영위하는 경우	제401조의2제1항	0.9	자|금융투자업자|자본시장과 금융투자업에 관한 법률|투자자문업|투자일임업|집합투자업|집합투자증권|투자매매업|투자중개업|온라인소액투자중개업	2026-05-20
자	정의함	LOGICAL	금융회사가 금융투자업자가 아닌 경우: 금융회사(금융지주회사인 경우 그 금융지주회사의 「금융지주회사법」)	제401조의2제1항	0.85	자|금융회사|금융지주회사|금융지주회사법	2026-05-20
주주	정의함	LOGICAL	자회사 및 손자회사를 포함한다)의 경영전략ㆍ조직변경 등 주요 의사결정 이나 업무집행에 지배적인 영향력을 행사한다고 인정되는 자	제2조제1항제2호 및 제3호	0.95	주주 정의|지배적 영향력 행사	2026-05-20
주주	참조함	STRUCTURE	제2조제1항제2호 및 제3호	제2조제1항제2호 및 제3호	0.9	참조|제2조제1항제2호 및 제3호	2026-05-20
금융관련법령	정의함	LOGICAL	법	제5조	0.95	금융관련법령|법	2026-05-20
금융관련법령	정의함	LOGICAL	대통령령으로 정하는 금융 관계 법령 및 다음 각 호의 법령(이하 ‘금융관련법령’이라 한다)	제2조제7호	0.95	정의함|금융관련법령	2026-05-20
제124조	정의함	LOGICAL	제124조 및	124	0.2	제124조|제124조 및	2026-05-20
법령 목록	정의함	LOGICAL	제128조제3항제4호에 명시된 법령 목록	128조제3항제4호	0.95	법령 목록|제128조제3항제4호	2026-05-20
법	정의함	LOGICAL	적용 범위	제6조	0.9	적용 범위|법	2026-05-20
대통령령으로 정하는 자	정의함	LOGICAL	한국수출입은행	제3조제1항제2호	0.97	대통령령으로 정하는 자|정의	2026-05-20
대통령령으로 정하는 자	정의함	LOGICAL	증권금융회사	제3조제1항제2호	0.97	대통령령으로 정하는 자|정의	2026-05-20
대통령령으로 정하는 자	정의함	LOGICAL	자금중개회사	제3조제1항제2호	0.97	대통령령으로 정하는 자|정의	2026-05-20
대통령령으로 정하는 자	정의함	LOGICAL	외국환중개회사	제3조제1항제2호	0.97	대통령령으로 정하는 자|정의	2026-05-20
대통령령으로 정하는 자	정의함	LOGICAL	한국주택금융공사	제3조제1항제2호	0.97	대통령령으로 정하는 자|정의	2026-05-20
대통령령으로 정하는 자	정의함	LOGICAL	신용협동조합	제3조제1항제2호	0.97	대통령령으로 정하는 자|정의	2026-05-20
신용협동조합	정의함	LOGICAL	농업협동조합법	제2조제1호	0.95	정의|신용협동조합|농업협동조합법	2026-05-20
신용사업을 영위하는 조합	정의함	LOGICAL	조합	제2조제1호	0.95	신용사업을 영위하는 조합|조합	2026-05-20
신용사업을 영위하는 조합	영위함	ACTION	신용사업	제2조제1호	0.9	영위|신용사업	2026-05-20
제2조제1호	상위조항	STRUCTURE	제2조	제2조제1호	0.9	제2조제1호|제2조	2026-05-20
신용사업을 영위하는 조합	정의함	LOGICAL	새마을금고	제2조제4호	0.95	신용사업을 영위하는 조합|새마을금고법	2026-05-20
신용사업을 영위하는 조합	정의함	LOGICAL	체신관서	제2조제4호	0.95	신용사업을 영위하는 조합|우체국예금ㆍ보험에 관한 법률	2026-05-20
대통령령으로 정하는 사람	정의함	LOGICAL	명예회장ㆍ회장ㆍ부회장ㆍ사장ㆍ부사장ㆍ대표ㆍ부대표ㆍ전무ㆍ상무ㆍ이사 등 업무를 집행할 권한이 있는 것으로 인정될 만한 명칭을 사용하여 같은 항에 따른 국내지점에 서 업무를 집행하는 사람	제3조제2항	0.95	정의|업무집행권한	2026-05-20
대통령령으로 정하는 사람	권한을가짐	ACTION	업무	제3조제2항	0.9	권한|업무집행	2026-05-20
대통령령으로 정하는 사람	근거함	STRUCTURE	제22조	제3조제2항	0.85	근거|법	2026-05-20
대통령령으로 정하는 금융회사	정의함	LOGICAL	다음 각 호의 어느 하나에 해당하는 자	제3조제3항	0.95	대통령령으로 정하는 금융회사|다음 각 호의 어느 하나에 해당하는 자	2026-05-20
대통령령으로 정하는 금융회사	예외로함	LOGICAL	주권상장법인	제3조제3항	0.85	대통령령으로 정하는 금융회사|주권상장법인	2026-05-20
자산총액이 2조원 이상인 자	제외한다	ACTION	주 권상장법인	제9조제15항제3호	0.95	자산총액|제외|2조원	2026-05-20
주 권상장법인	정의함	STRUCTURE	제9조제15항제3호에 따른 주 권상장법인	제9조제15항제3호	0.95	정의|주 권상장법인|제9조제15항제3호	2026-05-20
자산총액	정의함	STRUCTURE	자산총액이 2조원 이상인 자	제9조제15항제3호	0.9	정의|자산총액|2조원	2026-05-20
집합투자재산	정의함	LOGICAL	제9조제20항에 따른 집합투자재산	제9조제20항	0.95	집합투자재산 정의|법적 정의	2026-05-20
집합투자재산	참조함	STRUCTURE	같은 법	제9조제20항	0.9	법적 참조|같은 법	2026-05-20
투자일임재산	정의함	LOGICAL	제 85조제5호에 따른 투자일임재산(이하 “투자일임재산”이라 한다)	제 85조제5호	0.95	정의|투자일임재산	2026-05-20
신탁재산	정의함	LOGICAL	신탁재산	제 85조제5호	0.9	정의|신탁재산	2026-05-20
관리형신탁의 재산	제외함	ACTION	제3조제1항제2호	제3조제1항제2호	0.9	자산총액 기준|관리형신탁	2026-05-20
전체 합계액이 20조원 이상인 경우	제외함	ACTION	제3조제1항제2호	제3조제1항제2호	0.8	자산총액 기준|20조원	2026-05-20
자산총액이 5조원 미만인 보험회사	제외함	ACTION	제3조제1항제2호	제3조제1항제2호	0.7	자산총액|보험회사	2026-05-20
자산총액이 5조원 미만인 여신전문금융회사	제외함	ACTION	제3조제1항제2호	제3조제1항제2호	0.7	자산총액|여신전문금융회사	2026-05-20
임원의 자격요건	정의함	LOGICAL	법	제7조	0.95	임원의 자격요건|법	2026-05-20
