article_number	structural_index	entity_type	concept	subject	action	object	legal_force	full_text
제1조(목적)	[]	CONCEPT	목적	이 법	도모하고 보호함	보험업의 건전한 육성		이 법은 보험업을 경영하는 자의 건전한 경영을 도모하고 보험계약자, 피보험자, 그 밖의 이해관계인의 권익을 보호함으로써 보험업의 건전한 육성과 국민경제의 균형 있는 발전에 기여함을 목적으로 한다.
제2조	[]	DEFINITION	보험상품				DEFINITIONAL	제2조(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다. <개정 2015. 7. 31., 2021. 4. 20., 2022. 12. 31.> 1. “보험상품”이란 위험보장을 목적으로 우연한 사건 발생에 관하여 금전 및 그 밖의 급여를 지급할 것을 약정하고 대가를 수수(授受)하는 계약(「국민건강보험법」에 따른 건강보험, 「고용보험법」에 따른 고용보험 등 보험계약자 의 보호 필요성 및 금융거래 관행 등을 고려하여 대통령령으로 정하는 것은 제외한다)으로서 다음 각 목의 것을 말한다. 가. 생명보험상품: 위험보장을 목적으로 사람의 생존 또는 사망에 관하여 약정한 금전 및 그 밖의 급여를 지급할 것을 약속하고 대가를 수수하는 계약으로서 대통령령으로 정하는 계약 나. 손해보험상품: 위험보장을 목적으로 우연한 사건(다목에 따른 질병ㆍ상해 및 간병은 제외한다)으로 발생하는 손해(계약상 채무불이행 또는 법령상 의무불이행으로 발생하는 손해를 포함한다)에 관하여 금전 및 그 밖의 급 여를 지급할 것을 약속하고 대가를 수수하는 계약으로서 대통령령으로 정하는 계약 다. 제3보험상품: 위험보장을 목적으로 사람의 질병ㆍ상해 또는 이에 따른 간병에 관하여 금전 및 그 밖의 급여를 지급할 것을 약속하고 대가를 수수하는 계약으로서 대통령령으로 정하는 계약 2. “보험업”이란 보험상품의 취급과 관련하여 발생하는 보험의 인수(引受), 보험료 수수 및 보험금 지급 등을 영업으 로 하는 것으로서 생명보험업ㆍ손해보험업 및 제3보험업을 말한다. 3. “생명보험업”이란 생명보험상품의 취급과 관련하여 발생하는 보험의 인수, 보험료 수수 및 보험금 지급 등을 영 업으로 하는 것을 말한다. 4. “손해보험업”이란 손해보험상품의 취급과 관련하여 발생하는 보험의 인수, 보험료 수수 및 보험금 지급 등을 영 업으로 하는 것을 말한다. 5. “제3보험업”이란 제3보험상품의 취급과 관련하여 발생하는 보험의 인수, 보험료 수수 및 보험금 지급 등을 영업 으로 하는 것을 말한다. 6. “보험회사”란
Unknown	[]	REGULATION	Unknown					제4조에 따른 허가를 받아 보험업을 경영하는 자를 말한다. 7. “상호회사”란 보험업을 경영할 목적으로 이 법에 따라 설립된 회사로서 보험계약자를 사원(社員)으로 하는 회사 를 말한다. 8. “외국보험회사”란 대한민국 이외의 국가의 법령에 따라 설립되어 대한민국 이외의 국가에서 보험업을 경영하는 자를 말한다. 9. “보험설계사”란 보험회사ㆍ보험대리점 또는 보험중개사에 소속되어 보험계약의 체결을 중개하는 자[법인이 아닌 사단(社團)과 재단을 포함한다]로서
제84조	[]	DEFINITION	보험대리점		정의	보험대리점	DEFINITIONAL	제84조에 따라 등록된 자를 말한다. 10. “보험대리점”이란 보험회사를 위하여 보험계약의 체결을 대리하는 자(법인이 아닌 사단과 재단을 포함한다)로 서
제11조	[]	DEFINITION	보험중개사				DEFINITIONAL	제87조에 따라 등록된 자를 말한다. 11. “보험중개사”란 독립적으로 보험계약의 체결을 중개하는 자(법인이 아닌 사단과 재단을 포함한다)로서
Unknown	[]	REGULATION	Unknown					제89조 에 따라 등록된 자를 말한다. 12. “모집”이란 보험계약의 체결을 중개하거나 대리하는 것을 말한다. 13. “신용공여”란 대출 또는 유가증권의 매입(자금 지원적 성격인 것만 해당한다)이나 그 밖에 금융거래상의 신용위 험이 따르는 보험회사의 직접적ㆍ간접적 거래로서 대통령령으로 정하는 바에 따라 금융위원회가 정하는 거래를 법제처 2 국가법령정보센터 보험업법 말한다. 14. “총자산”이란 재무상태표에 표시된 자산에서 영업권 등 대통령령으로 정하는 자산을 제외한 것을 말한다. 15. “자기자본”이란 납입자본금ㆍ자본잉여금ㆍ이익잉여금, 그 밖에 이에 준하는 것(자본조정은 제외한다)으로서 대 통령령으로 정하는 항목의 합계액에서 영업권, 그 밖에 이에 준하는 것으로서 대통령령으로 정하는 항목의 합계 액을 뺀 것을 말한다. 16. “동일차주”란 동일한 개인 또는 법인 및 이와 신용위험을 공유하는 자로서 대통령령으로 정하는 자를 말한다. 17. “대주주”란 「금융회사의 지배구조에 관한 법률」
제2조제6호	[]	DEFINITION	주주				DEFINITIONAL	제2조제6호에 따른 주주를 말한다.
제3조	[2, None, 3, None]	REGULATION	보험계약 체결	인물	체결	보험계약	PROHIBITIVE	제3조(보험계약의 체결) 누구든지 보험회사가 아닌 자와 보험계약을 체결하거나 중개 또는 대리하지 못한다. 다만, 대 통령령으로 정하는 경우에는 그러하지 아니하다.
Unknown	[]	REGULATION	Unknown					제4조(보험업의 허가) ① 보험업을 경영하려는 자는 다음 각 호에서 정하는 보험종목별로 금융위원회의 허가를 받아야 한다. 1. 생명보험업의 보험종목 가. 생명보험 나. 연금보험(퇴직보험을 포함한다) 다. 그 밖에 대통령령으로 정하는 보험종목 2. 손해보험업의 보험종목 가. 화재보험 나. 해상보험(항공ㆍ운송보험을 포함한다) 다. 자동차보험 라. 보증보험 마. 재보험(再保險) 바. 그 밖에 대통령령으로 정하는 보험종목 3. 제3보험업의 보험종목 가. 상해보험 나. 질병보험 법제처 3 국가법령정보센터 보험업법 다. 간병보험 라. 그 밖에 대통령령으로 정하는 보험종목 ② 제1항에 따른 허가를 받은 자는 해당 보험종목의 재보험에 대한 허가를 받은 것으로 본다. 다만,
제9조제2항제 2호	[None, 2, 9, 2]	REGULATION	허가	보험회사	본다	제3보험업에 해당하는 보험종목에 대한 허가	MANDATORY	제9조제2항제 2호의 보험회사는 그러하지 아니하다.<개정 2020. 12. 8.> ③ 생명보험업이나 손해보험업에 해당하는 보험종목의 전부(제1항제2호라목에 따른 보증보험 및 같은 호 마목에 따른 재보험은 제외한다)에 관하여 제1항에 따른 허가를 받은 자는 제3보험업에 해당하는 보험종목에 대한 허가를 받은 것으로 본다. ④ 생명보험업 또는 손해보험업에 해당하는 보험종목의 전부(제1항제2호라목에 따른 보증보험 및 같은 호 마목에 따른 재보험은 제외한다)에 관하여 제1항에 따른 허가를 받은 자는 경제질서의 건전성을 해친 사실이 없으면 해당 생명보험업 또는 손해보험업의 종목으로 신설되는 보험종목에 대한 허가를 받은 것으로 본다. ⑤ 제3보험업에 관하여 제1항에 따른 허가를 받은 자는
