subject	relation	relation_category	object	article_number	confidence	concepts	created_at
이 법	도모하고	ACTION	보험업을 경영하는 자의 건전한 경영	제1조	0.95	건전한 경영|보험업 경영자	2026-04-27
이 법	보호함	ACTION	보험계약자, 피보험자, 그 밖의 이해관계인의 권익	제1조	0.95	권익 보호|보험계약자|피보험자|이해관계인	2026-04-27
이 법	기여함	ACTION	보험업의 건전한 육성	제1조	0.95	보험업 육성|건전한 육성	2026-04-27
이 법	기여함	ACTION	국민경제의 균형 있는 발전	제1조	0.95	국민경제 균형 발전	2026-04-27
목적	정의함	LOGICAL	보험업의 건전한 육성과 국민경제의 균형 발전에 기여함	제1조	0.95	목적|건전한 육성|균형 발전	2026-04-27
보험상품	정의함	LOGICAL	위험보장을 목적으로 우연한 사건 발생에 관하여 금전 및 그 밖의 급여를 지급할 것을 약정하고 대가를 수수하는 계약	제2조	0.98	보험상품|정의	2026-04-27
생명보험상품	정의함	LOGICAL	위험보장을 목적으로 사람의 생존 또는 사망에 관하여 약정한 금전 및 그 밖의 급여를 지급할 것을 약속하고 대가를 수수하는 계약	제2조	0.97	생명보험상품|정의	2026-04-27
손해보험상품	정의함	LOGICAL	위험보장을 목적으로 우연한 사건(다목에 따른 질병ㆍ상해 및 간병은 제외한다)으로 발생하는 손해에 관하여 금전 및 그 밖의 급여를 지급할 것을 약속하고 대가를 수수하는 계약	제2조	0.97	손해보험상품|정의	2026-04-27
제3보험상품	정의함	LOGICAL	위험보장을 목적으로 사람의 질병ㆍ상해 또는 이에 따른 간병에 관하여 금전 및 그 밖의 급여를 지급할 것을 약속하고 대가를 수수하는 계약	제2조	0.97	제3보험상품|정의	2026-04-27
보험업	정의함	LOGICAL	보험상품의 취급과 관련하여 발생하는 보험의 인수, 보험료 수수 및 보험금 지급 등을 영업으로 하는 것	제2조	0.96	보험업|정의	2026-04-27
생명보험업	정의함	LOGICAL	생명보험상품의 취급과 관련하여 발생하는 보험의 인수, 보험료 수수 및 보험금 지급 등을 영업으로 하는 것	제2조	0.96	생명보험업|정의	2026-04-27
손해보험업	정의함	LOGICAL	손해보험상품의 취급과 관련하여 발생하는 보험의 인수, 보험료 수수 및 보험금 지급 등을 영업으로 하는 것	제2조	0.96	손해보험업|정의	2026-04-27
제3보험업	정의함	LOGICAL	제3보험상품의 취급과 관련하여 발생하는 보험의 인수, 보험료 수수 및 보험금 지급 등을 영업으로 하는 것	제2조	0.96	제3보험업|정의	2026-04-27
보험업을 경영하는 자	정의함	LOGICAL	제4조에 따른 허가를 받아 보험업을 경영하는 자	Unknown	0.95	정의|보험업을 경영하는 자	2026-04-27
상호회사	정의함	LOGICAL	보험업을 경영할 목적으로 이 법에 따라 설립된 회사로서 보험계약자를 사원(社員)으로 하는 회사	Unknown	0.95	정의|상호회사	2026-04-27
