subject	relation	relation_category	object	article_number	confidence	concepts	created_at
이 법	정의함	LOGICAL	신용정보 관련 산업을 건전하게 육성하고 신용정보의 효율적 이용과 체계적 관리를 도모하며 신용 정보의 오용ㆍ남용으로부터 사생활의 비밀 등을 적절히 보호함으로써 건전한 신용질서를 확립하고 국민경제의 발전에 이바지함	제1조	0.97	목적|신용정보|산업|효율적 이용|체계적 관리|오용|남용|사생활 보호|신용질서|국민경제 발전	2026-04-25
신용정보	정의함	LOGICAL	금융거래 등 상거래에서 거래 상대방의 신용을 판단할 때 필요한 정보	제2조	0.95	정의|신용정보	2026-04-25
특정 신용정보주체를 식별할 수 있는 정보	정의함	LOGICAL	살아 있는 개인에 관한 정보 및 기업(사업을 경영하는 개인 및 법인과 이들의 단체) 정보	제2조	0.9	정의|특정 신용정보주체를 식별할 수 있는 정보	2026-04-25
신용정보주체의 거래내용을 판단할 수 있는 정보	정의함	LOGICAL	신용정보제공·이용자에게 신용위험이 따르는 거래의 종류, 기간, 금액, 금리, 한도 등	제2조	0.9	정의|신용정보주체의 거래내용을 판단할 수 있는 정보	2026-04-25
신용공여	정의함	LOGICAL	여신전문금융업법	제2조제7호	0.9	신용공여 정의|여신전문금융업법	2026-04-25
제2조제7호	참조함	STRUCTURE	여신전문금융업법	제2조제7호	0.8	제2조제7호 참조|여신전문금융업법	2026-04-25
신용카드, 시설대여 및 할부금융 거래	정의함	LOGICAL	자본시장과 금융투자업에 관한 법률	제2조제3호ㆍ제10호 및 제13호	0.95	신용카드|시설대여|할부금융 거래	2026-04-25
신용카드, 시설대여 및 할부금융 거래	참조함	STRUCTURE	제2조제3호ㆍ제10호 및 제13호	제2조제3호ㆍ제10호 및 제13호	0.9	제2조제3호|제10호|제13호	2026-04-25
제34조제2항	정의함	LOGICAL	제34조	제34조제2항	0.5	제34조제2항|제34조	2026-04-25
제77조의3제4항	상위조항	STRUCTURE	제77조	제77조의3제4항	0.8	제77조의3제4항|제77조	2026-04-25
신용공여	정의함	LOGICAL	거래	제342조제1항	0.95	신용공여|거래	2026-04-25
대통령령	정의함	ACTION	거래	제342조제1항	0.9	대통령령|거래	2026-04-25
정 보	요구함	ACTION	금융거래의 종류, 기간, 금액, 금리 등에 관한 정 보	제2조제3호	0.95	정 보|금융거래	2026-04-25
보험상품 정보 및 보험금 청구 및 지급 정보	정의함	LOGICAL	보험상품의 종류, 기간, 보험료 등 보험계약에 관한 정보 및 보험금의 청구 및 지급에 관한 정보	제2조제1호	0.95	제2조제1호에 따른|보험계약에 관한 정보|보험금 청구 및 지급에 관한 정보	2026-04-25
보험상품 정보 및 보험금 청구 및 지급 정보	근거함	STRUCTURE	자본시장과 금융투자업에 관한 법률	제2조제1호	0.85	자본시장과 금융투자업에 관한 법률	2026-04-25
제2조제1호	정의함	LOGICAL	보험상품 정보 및 보험금 청구 및 지급 정보	제2조제1호	0.9	보험상품 정보 및 보험금 청구 및 지급 정보	2026-04-25
금융투자상품	요구함	ACTION	금융투자상품 정보	제3조	0.95	금융투자상품 정보|제3조에 따른	2026-04-25
제3조	참조함	STRUCTURE	상법	제3조	0.9	상법 참조	2026-04-25
신용정보주체	정의함	LOGICAL	신용정보주체의 신용도 판단 정보	제46조	0.95	신용정보주체의 신용도 판단 정보	2026-04-25
신용정보주체	정의함	LOGICAL	신용정보주체의 신용거래능력을 판단할 수 있는 정보	제46조	0.95	신용정보주체의 신용거래능력을 판단할 수 있는 정보	2026-04-25
감사인	정의함	LOGICAL	제2조제7호에 따른 감사인	제2조	0.92	감사인 정의|제2조제7호	2026-04-25
감사인	참조함	STRUCTURE	제2조제7호	제2조	0.95	감사인|제2조제7호 참조	2026-04-25
신용정보주체의 신용을 판단할 때 필요한 정보	정의함	LOGICAL	다양한 정보(법원의 재판·행정처분, 조세·국가채권, 채무조정, 개인신용평점, 기업신용등급 등)	제2조	0.88	신용정보주체|신용판단 정보	2026-04-25
개인신용평점	정의함	LOGICAL	기호·숫자 등을 사용해 점수·등급 등으로 나타낸 정보	제2조	0.9	개인신용평점|점수·등급	2026-04-25
기업신용등급	정의함	LOGICAL	기호·숫자 등을 사용해 점수·등급 등으로 표시한 정보	제2조	0.9	기업신용등급|점수·등급	2026-04-25
신용등급	제외한다	ACTION	제9조제26항에 따른 신용등급	제9조제26항	0.95	신용등급 제외|제9조제26항에 따른	2026-04-25
신용등급	참조함	STRUCTURE	제9조제26항	제9조제26항	0.9	제9조제26항에 따른	2026-04-25
기술신용정보	정의함	LOGICAL	기업 및 법인의 신용을 판단하기 위하여 정보(기업 및 법인의 기술과 관련된 기술성ㆍ시장성ㆍ사업성 등을 대 통령령으로 정하는 바에 따라 평가한 결과를 포함한다)를 처리함으로써 새로이 만들어지는 정보	제2조제1호	0.95	정의|신용정보	2026-04-25
기술신용정보	근거함	STRUCTURE	대통령령으로 정하는 정보	제2조제1호	0.9	근거|대통령령	2026-04-25
기술신용정보	예외로함	LOGICAL	자본시장과 금융투자업에 관한 법률	제2조제1호	0.85	예외|자본시장법	2026-04-25
신용등급	예외로함	LOGICAL	제9조제26항에 따른	제9조제26항	0.9	신용등급|제9조제26항	2026-04-25
개인신용정보	정의함	LOGICAL	기업 및 법인에 관한 정보를 제외한 살아 있는 개인에 관한 신용정보	제9조	0.95	개인신용정보|신용정보	2026-04-25
신용정보주체	정의함	LOGICAL	처리된 신용정보로 알아볼 수 있는 자로서 그 신용정보의 주체가 되는 자	제9조	0.95	신용정보주체|신용정보	2026-04-25
신용정보업	정의함	LOGICAL	다음 각 목의 어느 하나에 해당하는 업	제9조	0.95	신용정보업|업	2026-04-25
신용정보회사	정의함	LOGICAL	제4호 각 목의 신용정보업에 대하여 금융위원회의 허가를 받은 자	제9조	0.95	신용정보회사|신용정보업|금융위원회	2026-04-25
신용정보집중기관	정의함	LOGICAL	신용정보를 집중하여 관리ㆍ활용하는 자	제9조	0.95	신용정보집중기관|신용정보	2026-04-25
신용정보제공ㆍ이용자	정의함	LOGICAL	금융위원회로부터 허가받은 자	제25조제1항	0.95	정의|허가받은 자	2026-04-25
신용정보제공ㆍ이용자	정의함	LOGICAL	고객과의 금융거래 등 상거래를 위하여 본인의 영업과 관련하여 얻거나 만들어 낸 신용정보를 타인에게 제공하거나 타인으로부터 신용정보를 제공받아 본인의 영업에 이용하는 자와 그 밖에 이에 준하는 자로서 대통령령으로 정하는 자	제25조	0.9	정의|신용정보제공|이용자	2026-04-25
개인신용평가업	정의함	LOGICAL	개인 신용을 판단하는 데 필요한 정보를 수집하고 개인의 신용상태를 평가(이하 “개인신용평가”라 한다)하여 그 결과(개인신용평점을 포함한다)를 제3자에게 제공하는 행위를 영업으로 하는 것	제25조	0.9	정의|개인신용평가업|영업	2026-04-25
개인사업자신용평가업	정의함	LOGICAL	개인사업자의 신용을 판단하는 데 필요한 정보를 수집하고 개인사업자의 신용 상태를 평가하여 그 결과를 제3자에게 제공하는 행위를 영업으로 하는 것	제25조	0.9	정의|개인사업자신용평가업|영업	2026-04-25
개인사업자신용평가업	준용함	STRUCTURE	자본시장과 금융투자 업에 관한 법률	제25조	0.85	준용|자본시장과 금융투자 업에 관한 법률	2026-04-25
신용평가업	제외함	ACTION	제9조제26항에 따른	제9조제26항	0.95	신용평가업 제외	2026-04-25
기업신용조회업	정의함	LOGICAL	다음 각 목에 따른 업무를 영업으로 하는 것	제8조제3항	0.95	기업신용조회업 정의	2026-04-25
기업신용조회업	준용함	STRUCTURE	자본시장과 금융투자업 에 관한 법률	제8조제3항	0.9	자본시장과 금융투자업 에 관한 법률 준용	2026-04-25
신용조사업	정의함	LOGICAL	제3자의 의뢰를 받아 신용정보를 조사하고, 그 신용정보를 그 의뢰인에게 제공하는 행위를 영업으로 하는 것	제9조	0.95	신용조사업|신용정보|영업	2026-04-25
