article_number	structural_index	entity_type	concept	subject	action	object	legal_force	full_text
제1조	[]	CONCEPT	목적	법	지원한다	신용카드업 등		제1조(목적) 이 법은 신용카드업, 시설대여업(施設貸與業), 할부금융업(割賦金融業) 및 신기술사업금융업(新技術事業金 融業)을 하는 자의 건전하고 창의적인 발전을 지원함으로써 국민의 금융편의를 도모하고 국민경제의 발전에 이바지 함을 목적으로 한다. [전문개정 2009. 2. 6.]
제2조	[]	DEFINITION	정의				DEFINITIONAL	제2조(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다. <개정 2010. 3. 12., 2012. 3. 21., 2015. 1. 20., 2015. 7. 31., 2016. 3. 29., 2018. 2. 21., 2025. 10. 1.> 1. “여신전문금융업(與信專門金融業)”이란 신용카드업, 시설대여업, 할부금융업 또는 신기술사업금융업을 말한다. 2. “신용카드업”이란 다음 각 목의 업무 중 나목의 업무를 포함한 둘 이상의 업무를 업(業)으로 하는 것을 말한다. 가. 신용카드의 발행 및 관리 나. 신용카드 이용과 관련된 대금(代金)의 결제 다. 신용카드가맹점의 모집 및 관리 2의2. “신용카드업자”란
제3조제1항	[None, None, 3, 1]	DEFINITION	신용카드업 허가·등록자				DEFINITIONAL	제3조제1항에 따라 신용카드업의 허가를 받거나 등록을 한 자를 말한다. 다만,
제3조제3항 제1호	[]	CONCEPT	요건에 해당하는 자					제3조제3항 제1호의 요건에 해당하는 자가
제13조제1항제2호 및 제3호	[]	DEFINITION	신용카드		발행	증표	DEFINITIONAL	제13조제1항제2호 및 제3호의 업무를 하는 경우에는 그 업무에 관하여만 신용카드업자로 본다. 3. “신용카드”란 이를 제시함으로써 반복하여 신용카드가맹점에서 다음 각 목을 제외한 사항을 결제할 수 있는 증표(證票)로서 신용카드업자(외국에서 신용카드업에 상당하는 영업을 영위하는 자를 포함한다)가 발행한 것을 말한다. 가. 금전채무의 상환 나. 「자본시장과 금융투자업에 관한 법률」
제3조제1항	[None, None, 3, 1]	DEFINITION	금융상품				DEFINITIONAL	제3조제1항에 따른 금융투자상품 등 대통령령으로 정하는 금융상품 다. 「게임산업진흥에 관한 법률」
제2조제1호의2	[]	REGULATION	이용 대가		지급	금전	MANDATORY	제2조제1호의2에 따른 사행성게임물의 이용 대가 및 이용에 따른 금전의 지급. 다만, 외국인(「해외이주법」
제2조	[]	DEFINITION	신용카드 관련 용어 정의				DEFINITIONAL	제2조에 따른 해외이주자를 포함한다)이 「관광진흥법」에 따라 허가받은 카지노영 업소에서 외국에서 신용카드업에 상당하는 영업을 영위하는 자가 발행한 신용카드로 결제하는 것은 제외한다. 라. 그 밖에 사행행위 등 건전한 국민생활을 저해하고 선량한 풍속을 해치는 행위로 대통령령으로 정하는 사항의 이용 대가 및 이용에 따른 금전의 지급 4. “신용카드회원”이란 신용카드업자와의 계약에 따라 그로부터 신용카드를 발급받은 자를 말한다. 5. “신용카드가맹점”이란 다음 각 목의 자를 말한다. 가. 신용카드업자와의 계약에 따라 신용카드회원ㆍ직불카드회원 또는 선불카드소지자(이하 “신용카드회원등”이 라 한다)에게 신용카드ㆍ직불(直拂)카드 또는 선불(先拂)카드(이하 “신용카드등”이라 한다)를 사용한 거래에 의 하여 물품의 판매 또는 용역의 제공 등을 하는 자 나. 신용카드업자와의 계약에 따라 신용카드회원등에게 물품의 판매 또는 용역의 제공 등을 하는 자를 위하여 신 용카드등에 의한 거래를 대행(代行)하는 자(이하 “결제대행업체”라 한다) 5의2. “수납대행가맹점”이란 신용카드업자와의 별도의 계약에 따라 다른 신용카드가맹점을 위하여 신용카드등에 의한 거래에 필요한 행위로서 대통령령으로 정하는 사항을 대행하는 신용카드가맹점을 말한다. 5의3. “가맹점모집인”이란 신용카드업자를 위하여 가맹점계약의 체결을 중개 또는 대리하고 부가통신업자를 위하 여 신용카드 단말기를 설치하는 자로서
제16조의3	[]	DEFINITION	정의				DEFINITIONAL	제16조의3에 따라 금융위원회에 등록을 한 자를 말한다. 5의4. “신용카드포인트”란 신용카드업자가 신용카드의 이용금액 등에 따라 신용카드회원에게 적립하여 재화를 구 매하거나 서비스를 이용할 수 있도록 하는 경제상의 이익을 말한다. 법제처 2 국가법령정보센터 여신전문금융업법 6. “직불카드”란 직불카드회원과 신용카드가맹점 간에 전자적(電子的) 또는 자기적(磁氣的) 방법으로 금융거래계좌 에 이체(移替)하는 등의 방법으로 결제가 이루어질 수 있도록 신용카드업자가 발행한 증표{자금(資金)을 융통받을 수 있는 증표는 제외한다}를 말한다. 7. “직불카드회원”이란 신용카드업자와의 계약에 따라 그로부터 직불카드를 발급받은 자를 말한다. 8. “선불카드”란 신용카드업자가 대금을 미리 받고 이에 해당하는 금액을 기록(전자적 또는 자기적 방법에 따른 기 록을 말한다)하여 발행한 증표로서 선불카드소지자가 신용카드가맹점에 제시하여 그 카드에 기록된 금액의 범위 에서 결제할 수 있게 한 증표를 말한다. 8의2. “신용카드등부가통신업”이란 신용카드업자 및 신용카드가맹점과의 계약에 따라 단말기 설치, 신용카드등의 조회ㆍ승인 및 매출전표 매입ㆍ자금정산 등 신용카드등의 대금결제를 승인ㆍ중계하기 위한 전기통신서비스 제 공을 업으로 하는 것을 말한다. 8의3. “부가통신업자”란 신용카드등부가통신업에 대하여
제27조의2	[]	DEFINITION	시설대여업				DEFINITIONAL	제27조의2에 따라 금융위원회에 등록을 한 자를 말한다. 9. “시설대여업”이란 시설대여를 업으로 하는 것을 말한다. 10. “시설대여”란 대통령령으로 정하는 물건(이하 “특정물건”이라 한다)을 새로 취득하거나 대여받아 거래상대방에 게 대통령령으로 정하는 일정 기간 이상 사용하게 하고, 그 사용 기간 동안 일정한 대가를 정기적으로 나누어 지 급받으며, 그 사용 기간이 끝난 후의 물건의 처분에 관하여는 당사자 간의 약정(約定)으로 정하는 방식의 금융을 말한다. 10의2. “시설대여업자”란 시설대여업에 대하여
