subject,relation,relation_category,object,article_number,confidence,concepts,created_at
법,지원함,ACTION,"신용카드업, 시설대여업, 할부금융업 및 신기술사업금융업",제1조,0.96,목적|신용카드업|시설대여업|할부금융업|신기술사업금융업,2026-04-16
목적,정의함,LOGICAL,신용카드업 등 사업의 건전하고 창의적인 발전을 지원하여 국민의 금융편의를 도모하고 국민경제의 발전에 이바지함,제1조,0.94,목적|신용카드업|시설대여업|할부금융업|신기술사업금융업,2026-04-16
정의,정의함,LOGICAL,여신전문금융업,제2조,0.99,여신전문금융업,2026-04-16
정의,정의함,LOGICAL,신용카드업,제2조,0.99,신용카드업,2026-04-16
정의,정의함,LOGICAL,신용카드업자,제2조,0.99,신용카드업자,2026-04-16
신용카드업 허가·등록자,정의함,LOGICAL,신용카드업의 허가를 받거나 등록을 한 자,제3조제1항,0.99,신용카드업|허가|등록,2026-04-16
요건에 해당하는 자,정의함,LOGICAL,제3조제3항 제1호,제3조제3항 제1호,0.96,요건|해당,2026-04-16
신용카드,정의함,LOGICAL,증표,제13조제1항제2호 및 제3호,0.98,발행|신용카드업자|증표,2026-04-16
제13조제1항제2호 및 제3호의 업무를 하는 자,간주함,LOGICAL,신용카드업자,제13조제1항제2호 및 제3호,0.95,업무|신용카드업자,2026-04-16
금융상품,정의함,LOGICAL,금융투자상품 등 대통령령으로 정하는 금융상품,제3조제1항,1.0,금융상품|금융투자상품|대통령령,2026-04-16
금융상품,참조함,STRUCTURE,게임산업진흥에 관한 법률,제3조제1항,0.95,금융상품|게임산업진흥에 관한 법률,2026-04-16
이용 대가,정의함,LOGICAL,금전의 지급,제2조제1호의2,0.93,이용 대가|금전,2026-04-16
이용 대가,요구함,ACTION,금전 지급,제2조제1호의2,0.88,이용 대가|금전,2026-04-16
신용카드회원,정의함,LOGICAL,신용카드업자와의 계약에 따라 신용카드를 발급받은 자,제2조,0.99,신용카드회원|신용카드업자|계약,2026-04-16
신용카드가맹점,정의함,LOGICAL,"신용카드업자와의 계약에 따라 신용카드회원·직불카드회원·선불카드소지자(이하 “신용카드회원등”)에게 신용카드·직불·선불카드 사용 거래에 의한 물품의 판매 또는 용역의 제공 등을 하는 자와, 그 거래를 대행하는 자(결제대행업체)",제2조,0.98,신용카드가맹점|신용카드회원등|거래대행|결제대행업체,2026-04-16
수납대행가맹점,정의함,LOGICAL,신용카드업자와 별도의 계약에 따라 다른 신용카드가맹점을 위하여 대통령령이 정하는 사항을 대행하는 신용카드가맹점,제2조,0.97,수납대행가맹점|대행|대통령령,2026-04-16
가맹점모집인,정의함,LOGICAL,"신용카드업자를 위하여 가맹점계약의 체결을 중개·대리하고, 부가통신업자를 위하여 신용카드 단말기를 설치하는 자",제2조,0.96,가맹점모집인|중개|단말기 설치|부가통신업자,2026-04-16
해외이주자 포함 외국 카지노 신용카드 결제,예외로함,LOGICAL,제2조에 따라 정의된 신용카드 관련 용어 적용에서 제외,제2조,0.95,해외이주자|카지노|신용카드 결제|예외,2026-04-16
신용카드포인트,정의함,LOGICAL,신용카드업자가 신용카드의 이용금액 등에 따라 신용카드회원에게 적립하여 재화를 구매하거나 서비스를 이용할 수 있도록 하는 경제상의 이익,제16조의3,0.99,신용카드포인트|경제상의 이익,2026-04-16
직불카드,정의함,LOGICAL,직불카드회원과 신용카드가맹점 간에 전자적 또는 자기적 방법으로 금융거래계좌에 이체하는 등의 방법으로 결제가 이루어질 수 있도록 신용카드업자가 발행한 증표(자금을 융통받을 수 있는 증표는 제외),제16조의3,0.99,직불카드|증표,2026-04-16
직불카드회원,정의함,LOGICAL,신용카드업자와의 계약에 따라 직불카드를 발급받은 자,제16조의3,0.99,직불카드회원|신용카드업자,2026-04-16
선불카드,정의함,LOGICAL,"신용카드업자가 대금을 미리 받고 이에 해당하는 금액을 전자적 또는 자기적 방법에 따라 기록한 증표로서, 선불카드소지자가 신용카드가맹점에 제시하여 그 카드에 기록된 금액 범위에서 결제할 수 있게 한 증표",제16조의3,0.99,선불카드|증표,2026-04-16
신용카드등부가통신업,정의함,LOGICAL,"신용카드업자 및 신용카드가맹점과의 계약에 따라 단말기 설치, 신용카드 등의 조회·승인 및 매출전표 매입·자금정산 등 신용카드 등의 대금결제를 승인·중계하기 위한 전기통신서비스 제공을 업으로 하는 것",제16조의3,0.99,신용카드등부가통신업|전기통신서비스,2026-04-16
부가통신업자,정의함,LOGICAL,신용카드등부가통신업에 대하여 전기통신서비스를 제공하는 자,제16조의3,0.99,부가통신업자|신용카드등부가통신업,2026-04-16
시설대여업,정의함,LOGICAL,시설대여를 업으로 하는 것,제27조의2,0.99,정의|시설대여업|업,2026-04-16
시설대여,정의함,LOGICAL,"대통령령으로 정하는 물건(특정물건)을 새로 취득하거나 대여받아 거래상대방에 대통령령으로 정하는 일정 기간 이상 사용하게 하고, 그 사용 기간 동안 일정한 대가를 정기적으로 나누어 지급받으며, 사용 기간이 끝난 후의 물건의 처분에 관하여는 당사자 간의 약정으로 정하는 방식의 금융",제27조의2,0.98,정의|시설대여|금융,2026-04-16
시설대여업자,정의함,LOGICAL,제27조의2에 따라 금융위원회에 등록을 한 자,제27조의2,0.97,정의|시설대여업자|등록,2026-04-16
시설대여업자,정의함,LOGICAL,시설대여업에 대하여,제27조의2,0.96,정의|시설대여업자|시설대여업,2026-04-16
