article_number,structural_index,entity_type,concept,subject,action,object,legal_force,full_text
제1조,[],CONCEPT,자본시장의 공정성ㆍ신뢰성 및 효율성,,촉진,금융혁신,,제1조(목적) 이 법은 자본시장에서의 금융혁신과 공정한 경쟁을 촉진하고 투자자를 보호하며 금융투자업을 건전하게 육성함으로써 자본시장의 공정성ㆍ신뢰성 및 효율성을 높여 국민경 제의 발전에 이바지함을 목적으로 한다.
제2조,[],REGULATION,국외행위에 대한 적용,이 법,적용,국외행위,MANDATORY,제2조(국외행위에 대한 적용) 이 법은 국외에서 이루어진 행위로서 그 효과가 국내에 미치는 경 우에도 적용한다.
제3조,[],DEFINITION,금융투자상품,,,,DEFINITIONAL,"제3조(금융투자상품) ① 이 법에서 “금융투자상품”이란 이익을 얻거나 손실을 회피할 목적으로 현재 또는 장래의 특정(特定) 시점에 금전, 그 밖의 재산적 가치가 있는 것(이하 “금전등”이라 한다)을 지급하기로 약정함으로써 취득하는 권리로서, 그 권리를 취득하기 위하여 지급하였 거나 지급하여야 할 금전등의 총액(판매수수료 등 대통령령으로 정하는 금액을 제외한다)이 그 권리로부터 회수하였거나 회수할 수 있는 금전등의 총액(해지수수료 등 대통령령으로 정 하는 금액을 포함한다)을 초과하게 될 위험(이하 “투자성”이라 한다)이 있는 것을 말한다. 다 만, 다음 각 호의 어느 하나에 해당하는 것을 제외한다. <개정 2011. 7. 25., 2013. 5. 28.> 1. 원화로 표시된 양도성 예금증서 2. 「신탁법」"
제78조제1항,[],DEFINITION,신탁,신탁,해당,목,DEFINITIONAL,제78조제1항에 따른 수익증권발행신탁이 아닌 신탁으로서 다음 각 목의 어느 하나에 해당하는 신탁(
제103조제1항제1호,"[None, None, 103, 1]",REGULATION,신탁,수탁자,,재산,MANDATORY,제103조제1항제1호의 재산을 신탁받는 경우는 제외하고 수탁자가 「신탁법」
제46조,[],,,,,,,
제48조,[],DEFINITION,관리형신탁,,,,DEFINITIONAL,제48조까지의 규정에 따라 처분 권한을 행사하는 경우는 포함한다. 이하 “관리형신탁”이라 한다)의 수익권 가. 위탁자(신탁계약에 따라 처분권한을 가지고 있는 수익자를 포함한다)의 지시에 따라서 만 신탁재산의 처분이 이루어지는 신탁 나. 신탁계약에 따라 신탁재산에 대하여 보존행위 또는 그 신탁재산의 성질을 변경하지 아 니하는 범위에서 이용ㆍ개량 행위만을 하는 신탁 3. 그 밖에 해당 금융투자상품의 특성 등을 고려하여 금융투자상품에서 제외하더라도 투자 자 보호 및 건전한 거래질서를 해할 우려가 없는 것으로서 대통령령으로 정하는 금융투자 상품 ② 제1항의 금융투자상품은 다음 각 호와 같이 구분한다. 1. 증권 2. 파생상품 가. 장내파생상품 나. 장외파생상품 법제처 2 국가법령정보센 터 자본시장과 금융투자업에 관한 법률
제4조,[],DEFINITION,증권,,정의한다,증권,DEFINITIONAL,"제4조(증권) ① 이 법에서 “증권”이란 내국인 또는 외국인이 발행한 금융투자상품으로서 투자자 가 취득과 동시에 지급한 금전등 외에 어떠한 명목으로든지 추가로 지급의무(투자자가 기초 자산에 대한 매매를 성립시킬 수 있는 권리를 행사하게 됨으로써 부담하게 되는 지급의무를 제외한다)를 부담하지 아니하는 것을 말한다. <개정 2013. 5. 28., 2015. 7. 24., 2026. 2. 3.> 1. 삭제<2026. 2. 3.> 2. 삭제<2026. 2. 3.> ② 제1항의 증권은 다음 각 호와 같이 구분한다. 1. 채무증권 2. 지분증권 3. 수익증권 4. 투자계약증권 5. 파생결합증권 6. 증권예탁증권 ③ 이 법에서 “채무증권”이란 국채증권, 지방채증권, 특수채증권(법률에 의하여 직접 설립된 법인이 발행한 채권을 말한다. 이하 같다), 사채권(「상법」"
Unknown,[],REGULATION,Unknown,,,,,"제469조제2항제3호에 따른 사채의 경우에는 제7항제1호에 해당하는 것으로 한정한다. 이하 같다), 기업어음증권(기업이 사업에 필요한 자금을 조달하기 위하여 발행한 약속어음으로서 대통령령으로 정하는 요건을 갖춘 것을 말한다. 이하 같다), 그 밖에 이와 유사(類似)한 것으로서 지급청구권이 표시된 것을 말 한다.<개정 2013. 5. 28.> ④ 이 법에서 “지분증권”이란 주권, 신주인수권이 표시된 것, 법률에 의하여 직접 설립된 법 인이 발행한 출자증권, 「상법」에 따른 합자회사ㆍ유한책임회사ㆍ유한회사ㆍ합자조합ㆍ익명 조합의 출자지분, 그 밖에 이와 유사한 것으로서 출자지분 또는 출자지분을 취득할 권리가 표시된 것을 말한다.<개정 2013. 5. 28.> ⑤ 이 법에서 “수익증권”이란"
제110조의 수익증권,[],CONCEPT,수익증권,,,,,"제110조의 수익증권,"
제189조,[],DEFINITION,수익증권,,정의한다,수익증권,DEFINITIONAL,"제189조의 수익증권, 그 밖에 이와 유사 한 것으로서 신탁의 수익권이 표시된 것을 말한다. ⑥ 이 법에서 “투자계약증권”이란 특정 투자자가 그 투자자와 타인(다른 투자자를 포함한다. 이하 이 항에서 같다) 간의 공동사업에 금전등을 투자하고 주로 타인이 수행한 공동사업의 결과에 따른 손익을 귀속받는 계약상의 권리가 표시된 것을 말한다. ⑦ 이 법에서 “파생결합증권”이란 기초자산의 가격ㆍ이자율ㆍ지표ㆍ단위 또는 이를 기초로 하는 지수 등의 변동과 연계하여 미리 정하여진 방법에 따라 지급하거나 회수하는 금전등이 결정되는 권리가 표시된 것을 말한다. 다만, 다음 각 호의 어느 하나에 해당하는 것은 제외한 다.<개정 2013. 5. 28., 2016. 3. 29., 2017. 4. 18., 2022. 12. 31.> 1. 발행과 동시에 투자자가 지급한 금전등에 대한 이자, 그 밖의 과실(果實)에 대하여만 해당 기초자산의 가격ㆍ이자율ㆍ지표ㆍ단위 또는 이를 기초로 하는 지수 등의 변동과 연계된 증권 2."
제5조제1항제2호,"[5, None, 1, 2]",DEFINITION,계약상의 권리,,,,DEFINITIONAL,제5조제1항제2호에 따른 계약상의 권리
제5조제1항,[],REGULATION,금융투자상품 제외,금융투자상품,제외한다,,MANDATORY,제5조제1항 각 호 외의 부분 단서에서 정하는 금 융투자상품은 제외한다) 3. 해당 사채의 발행 당시 객관적이고 합리적인 기준에 따라 미리 정하는 사유가 발생하는 경우 주식으로 전환되거나 그 사채의 상환과 이자지급 의무가 감면된다는 조건이 붙은 것 으로서
제165조의11제1항,[],DEFINITION,주권상장법인 사채,주권상장법인,발행,사채,DEFINITIONAL,제165조의11제1항에 따라 주권상장법인이 발행하는 사채 법제처 3 국가법령정보센 터 자본시장과 금융투자업에 관한 법률 3의2. 「은행법」
제33조,[],REGULATION,상각형 조건부자본증권,금융지주회사법,규정,상각형 조건부자본증권,MANDATORY,"제33조제1항제2호부터 제4호까지의 규정에 따른 상각형 조건부자본증권, 은 행주식 전환형 조건부자본증권 및 은행지주회사주식 전환형 조건부자본증권 3의3. 「금융지주회사법」"
제15조의2제1항제2호,[],DEFINITION,조건부자본증권,조건부자본증권,정의,상각형 조건부자본증권,DEFINITIONAL,제15조의2제1항제2호 또는 제3호에 따른 상각형 조건부자본증권 또는 전환형 조건부자본증권 3의4. 「보험업법」
제114조의2제1항,[],DEFINITION,조건부자본증권,조건부자본증권,정의,조건부자본증권,DEFINITIONAL,"제114조의2제1항제1호에서 제3호까지의 규정에 따른 상각형 조건부자본 증권, 보험회사주식 전환형 조건부자본증권 및 금융지주회사주식 전환형 조건부자본증권 4. 「상법」"
제469조제2항제2호,"[None, None, 469, 2]",,,,,,,"제469조제2항제2호,"
제513조,[],,,,,,,제513조 및
제516조의2,[],DEFINITION,증권예탁증권,법,정의한다,증권예탁증권,DEFINITIONAL,"제516조의2에 따른 사채 5. 그 밖에 제1호부터 제3호까지, 제3호의2부터 제3호의4까지 및 제4호에 따른 금융투자상 품과 유사한 것으로서 대통령령으로 정하는 금융투자상품 ⑧ 이 법에서 “증권예탁증권”이란 제2항제1호부터 제5호까지의 증권을 예탁받은 자가 그 증 권이 발행된 국가 외의 국가에서 발행한 것으로서 그 예탁받은 증권에 관련된 권리가 표시된 것을 말한다. ⑨ 제2항 각 호의 어느 하나에 해당하는 증권에 표시될 수 있거나 표시되어야 할 권리는 그 증권이 발행되지 아니한 경우에도 그 증권으로 본다. ⑩ 이 법에서 “기초자산”이란 다음 각 호의 어느 하나에 해당하는 것을 말한다. 1. 금융투자상품 2. 통화(외국의 통화를 포함한다) 3. 일반상품(농산물ㆍ축산물ㆍ수산물ㆍ임산물ㆍ광산물ㆍ에너지에 속하는 물품 및 이 물품을 원료로 하여 제조하거나 가공한 물품, 그 밖에 이와 유사한 것을 말한다) 4. 신용위험(당사자 또는 제삼자의 신용등급의 변동, 파산 또는 채무재조정 등으로 인한 신용 의 변동을 말한다) 5. 그 밖에 자연적ㆍ환경적ㆍ경제적 현상 등에 속하는 위험으로서 합리적이고 적정한 방법 에 의하여 가격ㆍ이자율ㆍ지표ㆍ단위의 산출이나 평가가 가능한 것"
제5조(파생상품),[],DEFINITION,파생상품,법,정의,파생상품,DEFINITIONAL,"제5조(파생상품) ① 이 법에서 “파생상품”이란 다음 각 호의 어느 하나에 해당하는 계약상의 권리를 말한다. 다만, 해당 금융투자상품의 유통 가능성, 계약당사자, 발행사유 등을 고려하여 증권으로 규제하는 것이 타당한 것으로서 대통령령으로 정하는 금융투자상품은 그러하지 않다. <개정 2013. 5. 28.> 1. 기초자산이나 기초자산의 가격ㆍ이자율ㆍ지표ㆍ단위 또는 이를 기초로 하는 지수 등에 의하여 산출된 금전등을 장래의 특정 시점에 인도할 것을 약정하는 계약 2. 당사자 어느 한쪽의 의사표시에 의하여 기초자산이나 기초자산의 가격ㆍ이자율ㆍ지표ㆍ단위 또는 이를 기초로 하는 지수 등에 의하여 산출된 금전등을 수수하는 거래를 성립시킬 수 있는 권리를 부여하는 것을 약정하는 계약 3. 장래의 일정기간 동안 미리 정한 가격으로 기초자산이나 기초자산의 가격ㆍ이자율ㆍ지표ㆍ단위 또는 이를 기초로 하는 지수 등에 의하여 산출된 금전등을 교환할 것을 약정하는 계약 4. 제1호부터 제3호까지의 규정에 따른 계약과 유사한 것으로서 대통령령으로 정하는 계약 ② 이 법에서 “장내파생상품”이란 다음 각 호의 어느 하나에 해당하는 것을 말한다.<개정 2013. 5. 28.> 1. 파생상품시장에서 거래되는 파생상품 법제처 4 국가법령정보센터 자본시장과 금융투자업에 관한 법률 2. 해외 파생상품시장(파생상품시장과 유사한 시장으로서 해외에 있는 시장과 대통령령으로 정하는 해외 파생상품거래가 이루어지는 시장을 말한다)에서 거래되는 파생상품 3. 그 밖에 금융투자상품시장을 개설하여 운영하는 자가 정하는 기준과 방법에 따라 금융투자상품시장에서 거래되는 파생상품 ③ 이 법에서 “장외파생상품”이란 파생상품으로서 장내파생상품이 아닌 것을 말한다. ④ 제1항 각 호의 어느 하나에 해당하는 계약 중 매매계약이 아닌 계약의 체결은 이 법을 적용함에 있어서 매매계약의 체결로 본다."
제6조,[],DEFINITION,금융투자업,,,,DEFINITIONAL,"제6조(금융투자업) ① 이 법에서 “금융투자업”이란 이익을 얻을 목적으로 계속적이거나 반복적 인 방법으로 행하는 행위로서 다음 각 호의 어느 하나에 해당하는 업(業)을 말한다. 1. 투자매매업 2. 투자중개업 3. 집합투자업 4. 투자자문업 5. 투자일임업 6. 신탁업 ② 이 법에서 “투자매매업”이란 누구의 명의로 하든지 자기의 계산으로 금융투자상품의 매 도ㆍ매수, 증권의 발행ㆍ인수 또는 그 청약의 권유, 청약, 청약의 승낙을 영업으로 하는 것을 말한다. ③ 이 법에서 “투자중개업”이란 누구의 명의로 하든지 타인의 계산으로 금융투자상품의 매 도ㆍ매수, 그 중개나 청약의 권유, 청약, 청약의 승낙 또는 증권의 발행ㆍ인수에 대한 청약의 권유, 청약, 청약의 승낙을 영업으로 하는 것을 말한다.<개정 2013. 5. 28.> ④ 이 법에서 “집합투자업”이란 집합투자를 영업으로 하는 것을 말한다. ⑤ 제4항에서 “집합투자”란 2인 이상의 투자자로부터 모은 금전등을 투자자로부터 일상적인 운용지시를 받지 아니하면서 재산적 가치가 있는 투자대상자산을 취득ㆍ처분, 그 밖의 방법 으로 운용하고 그 결과를 투자자에게 배분하여 귀속시키는 것을 말한다. 다만, 다음 각 호의 어느 하나에 해당하는 경우를 제외한다.<개정 2013. 5. 28., 2018. 3. 27.> 1. 대통령령으로 정하는 법률에 따라 사모(私募)의 방법으로 금전등을 모아 운용ㆍ배분하는 것으로서 대통령령으로 정하는 투자자의 총수가 대통령령으로 정하는 수 이하인 경우 2. 「자산유동화에 관한 법률」"
제3조의,[],DEFINITION,집합투자,자,운용,금전,DEFINITIONAL,"제3조의 자산유동화계획에 따라 금전등을 모아 운용ㆍ배분하 는 경우 3. 그 밖에 행위의 성격 및 투자자 보호의 필요성 등을 고려하여 대통령령으로 정하는 경우 ⑥ 제5항 각 호 외의 부분 본문에도 불구하고 다음 각 호의 어느 하나에 해당하는 자로부터 위탁받은 금전등을 그 자로부터 일상적인 운용지시를 받지 아니하면서 재산적 가치가 있는 투자대상자산을 취득ㆍ처분, 그 밖의 방법으로 운용하고 그 결과를 그 자에게 귀속시키는 행 위는 집합투자로 본다.<신설 2018. 3. 27., 2021. 12. 21.> 1. 「국가재정법」"
제9조제4항,[],DEFINITION,기금관리주체,기금관리주체,포함한다,,DEFINITIONAL,제9조제4항에 따른 기금관리주체(이에 준하는 외국기관으로서 대통령령으 로 정하는 자를 포함한다) 2. 「농업협동조합법」에 따른 농업협동조합중앙회 3. 「수산업협동조합법」에 따른 수산업협동조합중앙회 법제처 5 국가법령정보센 터 자본시장과 금융투자업에 관한 법률 4. 「신용협동조합법」에 따른 신용협동조합중앙회 5. 「상호저축은행법」에 따른 상호저축은행중앙회 6. 「산림조합법」에 따른 산림조합 7. 「새마을금고법」에 따른 새마을금고중앙회 8. 「우체국예금ㆍ보험에 관한 법률」에 따른 체신관서 9.
