subject,relation,relation_category,object,article_number,confidence,concepts,created_at
이 법,촉진함,ACTION,자본시장의 금융혁신과 공정한 경쟁,제1조,0.9,자본시장의 금융혁신|공정한 경쟁,2026-04-25
이 법,보호함,ACTION,투자자,제1조,0.9,투자자 보호,2026-04-25
이 법,육성함,ACTION,금융투자업,제1조,0.9,건전한 금융투자업 육성,2026-04-25
이 법,향상함,ACTION,자본시장의 공정성ㆍ신뢰성 및 효율성,제1조,0.9,자본시장의 공정성ㆍ신뢰성 및 효율성 향상,2026-04-25
이 법,이바지함,ACTION,국민경제의 발전,제1조,0.9,국민경제 발전,2026-04-25
자본시장의 공정성ㆍ신뢰성 및 효율성,정의함,LOGICAL,이 법의 목적,제1조,0.8,목적|자본시장의 공정성ㆍ신뢰성 및 효율성,2026-04-25
이 법,적용한다,ACTION,국외에서 이루어진 행위로서 그 효과가 국내에 미치는 경우,제2조,0.95,국외행위에 대한 적용,2026-04-25
국외행위에 대한 적용,정의함,LOGICAL,이 법은 국외에서 이루어진 행위로서 그 효과가 국내에 미치는 경우에도 적용한다.,제2조,0.9,국외행위에 대한 적용,2026-04-25
금융투자상품,정의함,LOGICAL,"이익을 얻거나 손실을 회피할 목적으로 현재 또는 장래의 특정 시점에 금전, 그 밖의 재산적 가치가 있는 것(이하 ‘금전등’)을 지급하기로 약정함으로써 취득하는 권리",제3조,0.95,정의,2026-04-25
금융투자상품,예외로함,LOGICAL,원화로 표시된 양도성 예금증서,제3조,0.9,예외,2026-04-25
금융투자상품,예외로함,LOGICAL,신탁법,제3조,0.9,예외,2026-04-25
신탁,정의함,LOGICAL,수익증권발행신탁이 아닌 신탁,제78조제1항,0.95,수익증권발행신탁이 아닌 신탁,2026-04-25
신탁,정의함,LOGICAL,목의 어느 하나에 해당하는 신탁,제78조제1항,0.95,목의 어느 하나에 해당하는 신탁,2026-04-25
신탁,참조함,STRUCTURE,제78조제1항,제78조제1항,0.9,제78조제1항,2026-04-25
수탁자,준용함,STRUCTURE,신탁법,제103조제1항제1호,0.9,신탁|수탁자|신탁법,2026-04-25
제46조,상위조항,STRUCTURE,제45조,46,0.0,,2026-04-25
관리형신탁,정의함,LOGICAL,위탁자(신탁계약에 따라 처분권한을 가지고 있는 수익자를 포함한다)의 지시에 따라서만 신탁재산의 처분이 이루어지는 신탁,제48조,0.9,위탁자|신탁계약|처분권한|신탁재산,2026-04-25
관리형신탁,정의함,LOGICAL,신탁계약에 따라 신탁재산에 대하여 보존행위 또는 그 신탁재산의 성질을 변경하지 않는 범위에서 이용ㆍ개량 행위만을 하는 신탁,제48조,0.9,신탁계약|신탁재산|보존행위|개량행위,2026-04-25
관리형신탁,정의함,LOGICAL,그 밖에 해당 금융투자상품의 특성 등을 고려하여 금융투자상품에서 제외하더라도 투자자 보호 및 건전한 거래질서를 해할 우려가 없는 것으로서 대통령령으로 정하는 금융투자 상품,제48조,0.8,금융투자상품|대통령령|투자자 보호|거래질서,2026-04-25
증권,정의함,LOGICAL,내국인 또는 외국인이 발행한 금융투자상품으로서 투자자가 취득과 동시에 지급한 금전등 외에 어떠한 명목으로든지 추가로 지급의무를 부담하지 아니하는 것,제4조,0.95,증권 정의|금융투자상품|추가 지급의무 없음,2026-04-25
증권,예외로함,LOGICAL,투자자가 기초 자산에 대한 매매를 성립시킬 수 있는 권리를 행사하게 됨으로써 부담하게 되는 지급의무를 제외한다,제4조,0.9,지급의무 제외|예외,2026-04-25
증권,구분한다,STRUCTURE,"채무증권, 지분증권, 수익증권, 투자계약증권, 파생결합증권, 증권예탁증권",제4조,0.95,구분|증권 종류,2026-04-25
채무증권,정의함,LOGICAL,"국채증권, 지방채증권, 특수채증권(법률에 의하여 직접 설립된 법인이 발행한 채권), 사채권",제4조,0.9,채무증권 정의|국채|지방채|특수채|사채,2026-04-25
증권,참조함,STRUCTURE,금융투자상품,제4조,0.85,참조|금융투자상품,2026-04-25
사채,정의함,LOGICAL,제7항제1호에 해당하는 사채,469,0.95,사채 정의|제7항제1호,2026-04-25
기업어음증권,정의함,LOGICAL,기업이 사업에 필요한 자금을 조달하기 위하여 발행한 약속어음으로서 대통령령으로 정하는 요건을 갖춘 것,469,0.95,기업어음증권 정의,2026-04-25
지분증권,정의함,LOGICAL,"주권, 신주인수권이 표시된 것, 법률에 의하여 직접 설립된 법인이 발행한 출자증권, 상법에 따른 합자회사ㆍ유한책임회사ㆍ유한회사ㆍ합자조합ㆍ익명 조합의 출자지분, 그 밖에 이와 유사한 것으로서 출자지분 또는 출자지분을 취득할 권리가 표시된 것",469,0.95,지분증권 정의,2026-04-25
제469조제2항제3호,참조함,STRUCTURE,제7항제1호,469,0.95,제469조제2항제3호 참조|제7항제1호,2026-04-25
수익증권,정의함,LOGICAL,수익증권,110조의,0.9,수익증권 정의,2026-04-25
수익증권,정의함,LOGICAL,"수익증권, 그 밖에 이와 유사 한 것으로서 신탁의 수익권이 표시된 것을 말한다.",제189조,0.95,수익증권 정의,2026-04-25
