subject,relation,relation_category,object,article_number,confidence,concepts,created_at
이 영,정의함,LOGICAL,위임된 사항과 그 시행에 관하여 필요한 사항을 규정함,제1조,0.9,목적|위임|필요한 사항,2026-04-30
해외 증권시장,정의함,LOGICAL,증권시장과 유사한 시장으로서 해외에 있는 시장,제2조,0.95,해외 증권시장|증권시장과 유사한 시장,2026-04-30
청약의 권유,정의함,LOGICAL,"권유받는 자에게 증권을 취득하도록 하기 위하여 신문ㆍ방송ㆍ잡지 등을 통한 광고, 안내문ㆍ홍보전단 등 인쇄물의 배포, 투자설명회의 개최, 전자통신 등의 방법",제2조,0.95,청약의 권유|권유|증권 취득,2026-04-30
투자광고,정의함,LOGICAL,증권 취득청약의 권유 또는 증권 매도청약이나 매수청약의 권유 등 증권을 발행 또는 매도한다는 사실을 알리거나 취득의 절차를 안내하는 활동,제249조의5,0.95,투자광고 정의|증권 취득청약 권유,2026-04-30
금융위원회,정하여 고시한다,ACTION,기준,제249조의5,0.9,금융위원회 기준|정의 기준,2026-04-30
금융위원회,정하여 고시한다,ACTION,제외되는 항목 목록,제249조의5,0.85,제외 항목|광고 제외,2026-04-30
외화자산,정의함,LOGICAL,외국에서 발행 또는 창설되거나 유통되는 자산 및 이와 비슷한 자산,제249조의5,0.9,외화자산 정의,2026-04-30
특수관계인,정의함,LOGICAL,금융회사의 지배구조에 관한 법률 시행령,제249조의5,0.9,특수관계인 정의,2026-04-30
주요주주,정의함,LOGICAL,금융회사의 지배구조에 관한 법률,제3조제1항,0.95,정의|주요주주,2026-04-30
전자적 투자조언장치,정의함,LOGICAL,"자동화된 전산정보처리장치로서, 집합투자재산을 운용할 경우 집합투자기구의 투자목적·투자방침·투자전략에 맞게 운용하고, 투자자문업·투자일임업을 수행할 경우 투자자의 투자목적·재산상황·투자경험 등을 고려해 투자성향을 분석하는 장치",제2조제6호나목,0.95,정의|요건,2026-04-30
전자적 투자조언장치,요구함,ACTION,집합투자기구의 투자목적·투자방침·투자전략에 맞게 운용할 것,제2조제6호나목,0.9,운용|요구,2026-04-30
침해사고 예방 체계,갖출,ACTION,체계 및 재해 예방 체계,제2조제1항제7호,0.92,침해사고 예방 체계|재해 예방 체계,2026-04-30
금융위원회가 정하여 고시하는 요건,갖출,ACTION,요건,제2조제1항제7호,0.88,금융위원회가 정하여 고시하는 요건,2026-04-30
해외 파생상품시장,정의함,LOGICAL,상장되어 거래되는 상품 또는 전문투자자,제5조제2항제2호,0.95,해외 파생상품시장 정의|상장 거래 상품,2026-04-30
자,정의함,LOGICAL,"제9조제5항제1호부터 제3호까지의 어느 하나에 해당하는 자, 이 영",제9조제5항제1호부터 제3호까지,0.95,정의|자,2026-04-30
자,참조함,STRUCTURE,제9조제5항,제9조제5항,0.9,참조|제9조제5항,2026-04-30
상품,제외함,ACTION,자,제10조제3항제1호,0.9,상품 제외|자,2026-04-30
고난도투자일임계약,정의함,LOGICAL,금융위원회가 정하여 고시하는 방법으로 산정한 최대 원금손실 가능금액이 원금의 100분의 20을 초과하는 투자일임계약 중 그 운용방법 및 그에 따른 위험을 투자자가 이해하기 어렵다고 인정되는 것으로서 금융위원회가 정하여 고시하는 기준에 해당하는 투자일임계약을 말한다.,제7조제2항제1호,0.95,정의함|고난도투자일임계약,2026-04-30
자본시장과 금융투자업에 관한 법률,정의함,LOGICAL,법,제3조,0.99,정의|이하 ‘법’이라 한다,2026-04-30
판매수수료 등 대통령령으로 정하는 금액,정의함,LOGICAL,다음 각 호의 금액,제3조제1항,0.95,정의|금액,2026-04-30
수수료,정의함,LOGICAL,제58조제1항에 따른 수수료,제58조제1항,0.9,수수료|제58조제1항,2026-04-30
수수료,준용함,STRUCTURE,제58조제1항,제58조제1항,0.8,수수료|제58조제1항,2026-04-30
수수료,정의함,LOGICAL,판매수수료(이하 “판매수수료”라 한다),제76조제4항,0.95,수수료 정의|항목,2026-04-30
수수료,정의함,LOGICAL,보험계약에 따른 사업비와 위험보험료,제76조제4항,0.95,수수료 정의|항목,2026-04-30
수수료,정의함,LOGICAL,금융위원회가 정하여 고시하는 금액,제76조제4항,0.95,수수료 정의|항목,2026-04-30
해지수수료 등 대통령령으로 정하는 금액,정의함,LOGICAL,다음 각 호의 금액을 말한다. 1. 법,제3조제1항,0.95,정의|금액,2026-04-30
환매수수료,정의함,LOGICAL,제236조제2항에 따른 환매수수료(이하 “환매수수료”라 한다),제236조제2항,0.99,환매수수료 정의,2026-04-30
해지수수료,정의함,LOGICAL,"중도해지로 인하여 투자자, 그 밖의 고객이 지급하는 해지수수료(이에 준하는 것을 포함한다)",제236조제2항,0.98,해지수수료 정의,2026-04-30
투자자,요구함,ACTION,환매수수료,제236조제2항,0.97,환매수수료,2026-04-30
투자자,요구함,ACTION,해지수수료,제236조제2항,0.96,해지수수료,2026-04-30
투자자,요구함,ACTION,각종 세금,제236조제2항,0.95,세금,2026-04-30
투자자,요구함,ACTION,파산 또는 채무조정에 따른 금전적 손실,제236조제2항,0.9,파산|채무조정,2026-04-30
투자자,요구함,ACTION,금융위원회가 정하여 고시하는 금액,제236조제2항,0.88,금융위원회 고시 금액,2026-04-30
금융투자상품,정의함,LOGICAL,상법,제3조제1항제3호,0.95,금융투자상품 정의|상법,2026-04-30
제340조의2,상위조항,STRUCTURE,제340조,제340조의2,0.8,제340조의2|제340조,2026-04-30
주식매수선택권,정의함,LOGICAL,제542조의3에 따른 주식매수선택권,제542조의3,0.95,주식매수선택권 정의,2026-04-30
증권신고서 제출 등의 규제만 적용되는 증권,정의함,LOGICAL,증권,제3조의2,0.95,정의|규제 적용 범위,2026-04-30
증권,정의함,LOGICAL,합자회사ㆍ유한책임회사ㆍ합자조합ㆍ익명조합의 출자지분이 표시된 것,제4조제1항제2호,0.97,합자회사|유한책임회사|합자조합|익명조합|집합투자증권 제외,2026-04-30
증권,참조함,STRUCTURE,상법,제4조제1항제2호,0.9,상법,2026-04-30
기업어음증권,정의함,LOGICAL,기업어음증권의 요건,제4조,0.9,요건|정의,2026-04-30
대통령령으로 정하는 요건,정의함,LOGICAL,기업의 위탁에 따라 그 지급대행을 하는 다음 각 호의 어느 하나에 해당하는 자가 내어준 것으로서 “기업어음증권”이라는 문자가 인쇄된 어음용지를 사 용하는 것,제4조제3항,0.95,정의|요건|기업어음증권,2026-04-30
기업어음증권,정의함,LOGICAL,기업의 위탁에 따라 그 지급대행을 하는 다음 각 호의 어느 하나에 해당하는 자가 내어준 것으로서 “기업어음증권”이라는 문자가 인쇄된 어음용지를 사 용하는 것,제4조제3항,0.95,정의|기업어음증권|어음용지,2026-04-30
은행,정의함,LOGICAL,기업의 위탁에 따라 그 지급대행을 하는 다음 각 호의 어느 하나에 해당하는 자,제4조제3항,0.9,정의|은행|지급대행,2026-04-30
은행,포함한다,LOGICAL,수산업협동조합법에 따른 수협은행,제59조,0.95,은행 정의|수산업협동조합법에 따른 수협은행,2026-04-30
은행,포함한다,LOGICAL,농업협동조합법에 따른 농협은행,제59조,0.95,은행 정의|농업협동조합법에 따른 농협은행,2026-04-30
은행,포함한다,LOGICAL,한국산업은행법에 따른 한국산업은행,제59조,0.95,은행 정의|한국산업은행법에 따른 한국산업은행,2026-04-30
은행,포함한다,LOGICAL,중소기업은행법에 따른 중소기업은행,제59조,0.95,은행 정의|중소기업은행법에 따른 중소기업은행,2026-04-30
파생결합증권에서 제외되는 금융투자상품,정의함,LOGICAL,제4조의2,제4조의2,0.95,정의|파생결합증권에서 제외되는 금융투자상품,2026-04-30
대통령령으로 정하는 금융투자상품,정의함,LOGICAL,상법,제4조제7항제5호,0.99,정의|대통령령으로 정하는 금융투자상품,2026-04-30
신주인수권증서,준용함,STRUCTURE,제420조의2,제420조의2,0.95,신주인수권증서|제420조의2에 따른,2026-04-30
신주인수권증권,정의함,LOGICAL,제516조의5에 따른 신주인수권증권,제516조의5,0.95,정의|제516조의5에 따른 신주인수권증권,2026-04-30
파생상품에서 제외되는 금융투자상품,정의함,LOGICAL,법,제4조의3,0.95,정의|법,2026-04-30
금융투자상품,정의함,LOGICAL,대통령령으로 정하는 금융투자상품이란 다음 각 호의 어느 하나에 해당하는 금융투자상품을 말한다.,제5조제1항,0.95,정의|금융투자상품|대통령령,2026-04-30
금융투자상품,정의함,LOGICAL,증권 및 장외파생상품에 대한 투자매매업의 인가를 받은 금융투자업자가 발행하는 증권 또는 증서로서 기초자산의 가격·이자율·지표·단위 또는 이를 기초로 하는 지수 등의 변동과 연계하여 미리 정해진 방법에 따라 그 기초자산의 매매나 금전을 수수하는 거래를 성립시킬 수 있는 권리가 표시된 증권 또는 증서,제5조제1항,0.9,정의|증권|장외파생상품|투자매매업|금융투자업자,2026-04-30
신주인수권증권,정의함,LOGICAL,제516조의5에 따른,제516조의5,0.95,신주인수권증권 정의|제516조의5에 따른,2026-04-30
신주인수권증권,참조함,STRUCTURE,제516조의5,제516조의5,0.9,신주인수권증권 정의|제516조의5 참조,2026-04-30
해외 파생상품거래,정의함,LOGICAL,해외 파생상품거래,제5조,0.95,정의|해외 파생상품거래,2026-04-30
해외 파생상품거래,참조함,STRUCTURE,법,제5조,0.85,참조|법,2026-04-30
대통령령으로 정하는 해외 파생상품거래,정의함,LOGICAL,런던금속거래소의 규정에 따라 장외에서 이루어지는 금속거래,제5조제2항제2호,0.95,대통령령으로 정하는 해외 파생상품거래|금속거래,2026-04-30
대통령령으로 정하는 해외 파생상품거래,정의함,LOGICAL,런던귀금속시장협회의 규정에 따라 이루어지는 귀금속거래,제5조제2항제2호,0.95,대통령령으로 정하는 해외 파생상품거래|귀금속거래,2026-04-30
대통령령으로 정하는 해외 파생상품거래,정의함,LOGICAL,미국선물협회의 규정에 따라 장외에서 이루어지는 외국환거래,제5조제2항제2호,0.95,대통령령으로 정하는 해외 파생상품거래|외국환거래,2026-04-30
대통령령으로 정하는 해외 파생상품거래,정의함,LOGICAL,선박운임선도거래업자협회의 규정에 따라 이루어지는 선박운임거래,제5조제2항제2호,0.95,대통령령으로 정하는 해외 파생상품거래|선박운임거래,2026-04-30
대통령령으로 정하는 해외 파생상품거래,정의함,LOGICAL,국제적으로 표준화된 조건이나 절차에 따라 이루어지는 거래로서 금융위원회가 정하여 고시하는 거래,제5조제2항제2호,0.95,대통령령으로 정하는 해외 파생상품거래|국제표준거래,2026-04-30
집합투자,예외로함,LOGICAL,법,제6조,0.7,집합투자|법,2026-04-30
대통령령으로 정하는 법률,정의함,LOGICAL,부동산투자회사법,제6조제5항제1호,0.99,정의함|법률,2026-04-30
대통령령으로 정하는 법률,정의함,LOGICAL,선박투자회사법,제6조제5항제1호,0.99,정의함|법률,2026-04-30
대통령령으로 정하는 법률,정의함,LOGICAL,문화산업진흥 기본법,제6조제5항제1호,0.99,정의함|법률,2026-04-30
대통령령으로 정하는 법률,정의함,LOGICAL,산업발전법,제6조제5항제1호,0.99,정의함|법률,2026-04-30
대통령령으로 정하는 법률,정의함,LOGICAL,벤처투자 촉진에 관한 법률,제6조제5항제1호,0.99,정의함|법률,2026-04-30
대통령령으로 정하는 법률,정의함,LOGICAL,여신전문금융업법,제6조제5항제1호,0.99,정의함|법률,2026-04-30
대통령령으로 정하는 법률,정의함,LOGICAL,소재ㆍ부품ㆍ장비산업 경쟁력 강화 및 공급망 안정화를 위한 특별조치법,제6조제5항제1호,0.99,정의함|법률,2026-04-30
대통령령으로 정하는 법률,정의함,LOGICAL,농림수산식품투자조합 결성 및 운용에 관한 법률,제6조제5항제1호,0.99,정의함|법률,2026-04-30
투자자,정의함,LOGICAL,다음 각 호에 해당하지 아니하는 투자자,제6조제5항제1호,0.95,투자자 정의|대통령령으로 정하는 투자자,2026-04-30
자,정의함,LOGICAL,각 호의 어느 하나에 해당하는 자,제4조,0.99,자|각 호의 어느 하나에 해당하는 자,2026-04-30
자,정의함,LOGICAL,자(금융위원회가 정하고 고시하는),제10조제3항제12호ㆍ제13호,0.95,자|정의함|정하고 고시하는,2026-04-30
대통령령으로 정하는 수,정의함,LOGICAL,49인,제6조제5항제1호,0.95,정의|수,2026-04-30
투자금액을 합산한 금액,초과함,LOGICAL,자산총액의 80%,제80조제1항제5호의2,0.95,투자금액 합산|자산총액 80% 초과,2026-04-30
제80조제1항제5호의2,규정함,STRUCTURE,부동산투자회사법,제80조제1항제5호의2,0.9,제80조제1항제5호의2|부동산투자회사법,2026-04-30
사모투자재간접집합투자기구,투자금액을 합산함,ACTION,투자금액,제80조제1항제5호의2,0.85,사모투자재간접집합투자기구|투자금액 합산,2026-04-30
다른 집합투자기구,요구함,ACTION,집합투자증권 발행총수의 100분의 10 이상을 취득,제49조의3제1항,0.92,집합투자기구|집합투자증권|발행총수|10%,2026-04-30
다른 집합투자기구,요구함,ACTION,투자자 수를 더함,제49조의3제1항,0.88,투자자|수|추가,2026-04-30
대통령령으로 정하는 경우,정의함,LOGICAL,다음 각 호의 어느 하나에 해당하는 경우,제202조제1항제7호,0.99,대통령령으로 정하는 경우|다음 각 호의 어느 하나에 해당하는 경우,2026-04-30
대통령령으로 정하는 경우,참조함,STRUCTURE,법,제6조제5항제3호,0.9,참조|법,2026-04-30
예치기관,운용한다,ACTION,투자자예탁금,제74조제3항,0.95,투자자예탁금 운용,2026-04-30
예치기관,배분한다,ACTION,투자자예탁금,제74조제3항,0.9,투자자예탁금 배분,2026-04-30
예치기관,예치한다,ACTION,투자자예탁금,제74조제3항,0.85,투자자예탁금 예치,2026-04-30
예치기관,신탁받는다,ACTION,투자자예탁금,제74조제3항,0.85,투자자예탁금 신탁,2026-04-30
종합금융투자사업자,정의함,LOGICAL,지정받은 종합금융투자사업자,제77조의2,0.95,종합금융투자사업자 정의|지정받은 종합금융투자사업자,2026-04-30
종합금융투자사업자,참조함,STRUCTURE,제77조의2,제77조의2,0.9,제77조의2 참조,2026-04-30
신탁업자,운용,ACTION,수탁한 금전,제77조의6제1항제3호,0.95,종합투자계좌업무|신탁재산 효율적 운용,2026-04-30
종합재산신탁,참조함,STRUCTURE,제103조제2항,제103조제2항,0.9,제103조제2항,2026-04-30
종합재산신탁,요구함,ACTION,신탁재산,제103조제2항,0.95,운용|신탁재산,2026-04-30
종합재산신탁,간주함,LOGICAL,운용,제103조제2항,0.85,금전의 수탁비율|40% 이하|수익금|해지|환매|불가피한 경우,2026-04-30
투자목적회사,업무를 하는,ACTION,업무,제249조의13,0.95,투자목적회사|업무,2026-04-30
투자목적회사,제249조의13에 따른,STRUCTURE,제249조의13,제249조의13,0.9,제249조의13,2026-04-30
투자목적회사,정의함,LOGICAL,투자목적회사,제249조의13,0.8,투자목적회사,2026-04-30
종합금융회사,정의함,LOGICAL,종합금융회사,336,0.95,종합금융회사 정의,2026-04-30
어음관리계좌,수행,ACTION,어음관리계좌 업무,제329조,0.95,어음관리계좌 업무,2026-04-30
어음관리계좌,준용함,STRUCTURE,조세특례제한법,제329조,0.9,어음관리계좌 업무|조세특례제한법,2026-04-30
법인,갖추다,ACTION,요건,제104조의31제1항,0.95,요건,2026-04-30
국내회사,허용함,ACTION,금전등,제3조제1항,0.9,금전등 운용|금전등 배분,2026-04-30
국내회사,예외로함,LOGICAL,지분증권 소유를 통한 다른 회사의 사업 지배,제3조제1항,0.8,지분증권 소유|사업 지배,2026-04-30
제3조제1항,참조함,STRUCTURE,가맹사업거래의 공정화에 관한 법률,제3조제1항,0.95,가맹사업거래의 공정화에 관한 법률,2026-04-30
금전등 운용,정의함,LOGICAL,금전등을 모아 운용ㆍ배분,제3조제1항,0.85,금전등 운용|금전등 배분,2026-04-30
가맹사업,준용함,STRUCTURE,방문판매 등에 관한 법률,제2조제1호,0.9,가맹사업|방문판매 등에 관한 법률,2026-04-30
사업자,요구함,ACTION,투자자,제2조제5호,0.95,다단계판매 사업|운용,2026-04-30
사업자,예외로함,LOGICAL,사업자가 특정한 사업의 결과를 배분하는 경우,제2조제5호,0.9,예외|특정 사업|배분,2026-04-30
다단계판매 사업,정의함,LOGICAL,다단계판매 사업을 하는 경우,제2조제5호,0.85,다단계판매 사업|정의,2026-04-30
인증을 받은 자 (증권금융회사),예치·신탁할 것,ACTION,기관 (금융위원회가 정하여 고시하는 기관),제324조제1항,0.95,예치·신탁|기관|인증을 받은 자,2026-04-30
인증을 받은 자 (증권금융회사),인출하거나 담보로 제공하지 않을 것,ACTION,예치·신탁한 금전,제324조제1항,0.9,인출|담보|합병등기 완료 전|예치·신탁한 금전,2026-04-30
발기인,요구함,ACTION,지분증권 투자 매매업자,제165조의5,0.9,주식매수청구권|지분증권,2026-04-30
지분증권,예외로함,LOGICAL,집합투자증권,제4조제3항,0.9,지분증권 예외|집합투자증권 제외,2026-04-30
금융위원회,정하여 고시함,STRUCTURE,규모 이상의 지분증권 투자 매매업자,제165조의5,0.85,금융위원회|지분증권 투자 매매업자,2026-04-30
주권,요구함,ACTION,증권시장에 상장할 것,제5조제1항,0.95,주권 상장|증권시장,2026-04-30
주권,요구함,ACTION,다른 법인과의 합병등기를 완료할 것,제5조제1항,0.9,주권 합병등기|다른 법인,2026-04-30
집합투자 여부 판단,고려함,LOGICAL,금융위원회가 집합투자에 해당하지 아니한다고 인정하는 경위,제5조제1항,0.8,집합투자 여부 판단|금융위원회,2026-04-30
대통령령으로 정하는 자,정의함,LOGICAL,정의 대상,제6조제6항제1호,0.95,정의|대통령령으로 정하는 자,2026-04-30
자,정의함,LOGICAL,제13조제2항의 각 호에 해당하는 자,제13조제2항,0.95,자|제13조제2항의 각 호에 해당하는 자,2026-04-30
