article_number	structural_index	entity_type	concept	subject	action	object	legal_force	full_text
제1조	[]	CONCEPT	목적	법	목적으로 하다		DEFINITIONAL	제1조(목적) 이 법은 전자금융거래의 법률관계를 명확히 하여 전자금융거래의 안전성과 신뢰성을 확보함과 아울러 전 자금융업의 건전한 발전을 위한 기반조성을 함으로써 국민의 금융편의를 꾀하고 국민경제의 발전에 이바지함을 목 적으로 한다.
제2조	[]	DEFINITION	용어 정의				DEFINITIONAL	제2조(정의) 이 법에서 사용하는 용어의 정의는 다음과 같다. <개정 2007. 4. 27., 2008. 2. 29., 2012. 3. 21., 2012. 6. 1., 2013. 5. 22., 2020. 6. 9., 2023. 9. 14.> 1. “전자금융거래”라 함은 금융회사 또는 전자금융업자가 전자적 장치를 통하여 금융상품 및 서비스를 제공(이하 “전자금융업무”라 한다)하고, 이용자가 금융회사 또는 전자금융업자의 종사자와 직접 대면하거나 의사소통을 하지 아니하고 자동화된 방식으로 이를 이용하는 거래를 말한다. 2. “전자지급거래”라 함은 자금을 주는 자(이하 “지급인”이라 한다)가 금융회사 또는 전자금융업자로 하여금 전자지급수단을 이용하여 자금을 받는 자(이하 “수취인”이라 한다)에게 자금을 이동하게 하는 전자금융거래를 말한다. 3. “금융회사”란 다음 각 목의 어느 하나에 해당하는 기관이나 단체 또는 사업자를 말한다. 가. 「금융위원회의 설치 등에 관한 법률」
제38조제4항	[]	DEFINITION	전자금융업자				DEFINITIONAL	제38조제1호부터 제5호까지, 제7호 및 제8호에 해당하는 기관 나. 「여신전문금융업법」에 따른 여신전문금융회사 다. 「우체국예금ㆍ보험에 관한 법률」에 따른 체신관서 라. 「새마을금고법」에 따른 새마을금고 및 새마을금고중앙회 마. 그 밖에 법률의 규정에 따라 금융업 및 금융 관련 업무를 행하는 기관이나 단체 또는 사업자로서 대통령령이 정하는 자 4. “전자금융업자”라 함은
제28조	[]	DEFINITION	전자금융보조업자				DEFINITIONAL	제28조의 규정에 따라 허가를 받거나 등록을 한 자(금융회사는 제외한다)를 말한다. 5. “전자금융보조업자”라 함은 금융회사 또는 전자금융업자를 위하여 전자금융거래를 보조하거나 그 일부를 대행하는 업무를 행하는 자 또는 결제중계시스템의 운영자로서 「금융위원회의 설치 등에 관한 법률」
제3조	[]	DEFINITION	용어 정의				DEFINITIONAL	제3조에 따른 금융 위원회(이하 “금융위원회”라 한다)가 정하는 자를 말한다. 6. “결제중계시스템”이라 함은 금융회사와 전자금융업자 사이에 전자금융거래정보를 전달하여 자금정산 및 결제에 관한 업무를 수행하는 금융정보처리운영체계를 말한다. 7. “이용자”라 함은 전자금융거래를 위하여 금융회사 또는 전자금융업자와 체결한 계약(이하 “전자금융거래계약”이 라 한다)에 따라 전자금융거래를 이용하는 자를 말한다. 8. “전자적 장치”라 함은 전자금융거래정보를 전자적 방법으로 전송하거나 처리하는데 이용되는 장치로서 현금자동 지급기, 자동입출금기, 지급용단말기, 컴퓨터, 전화기 그 밖에 전자적 방법으로 정보를 전송하거나 처리하는 장치를 말한다. 9. “전자문서”라 함은 「전자문서 및 전자거래 기본법」
제2조제1호	[None, None, 2, 1]	DEFINITION	접근매체				DEFINITIONAL	제2조제1호에 따른 작성, 송신ㆍ수신 또는 저장된 정보를 말 한다. 10. “접근매체”라 함은 전자금융거래에 있어서 거래지시를 하거나 이용자 및 거래내용의 진실성과 정확성을 확보하기 위하여 사용되는 다음 각 목의 어느 하나에 해당하는 수단 또는 정보를 말한다. 가. 전자식 카드 및 이에 준하는 전자적 정보 나. 「전자서명법」
제2조	[]	DEFINITION	전자지급수단				DEFINITIONAL	제2조제3호에 따른 전자서명생성정보 및 같은 조 제6호에 따른 인증서 다. 금융회사 또는 전자금융업자에 등록된 이용자번호 법제처 2 국가법령정보센터 전자금융거래법 라. 이용자의 생체정보 마. 가목 또는 나목의 수단이나 정보를 사용하는데 필요한 비밀번호 11. “전자지급수단”이라 함은 전자자금이체, 직불전자지급수단, 선불전자지급수단, 전자화폐, 신용카드, 전자채권 그 밖에 전자적 방법에 따른 지급수단을 말한다. 12. “전자자금이체”라 함은 지급인과 수취인 사이에 자금을 지급할 목적으로 금융회사 또는 전자금융업자에 개설된 계좌(금융회사에 연결된 계좌에 한한다. 이하 같다)에서 다른 계좌로 전자적 장치에 의하여 다음 각 목의 어느 하 나에 해당하는 방법으로 자금을 이체하는 것을 말한다. 가. 금융회사 또는 전자금융업자에 대한 지급인의 지급지시 나. 금융회사 또는 전자금융업자에 대한 수취인의 추심지시(이하 “추심이체”라 한다) 13. “직불전자지급수단”이라 함은 이용자와 가맹점간에 전자적 방법에 따라 금융회사의 계좌에서 자금을 이체하는 등의 방법으로 재화 또는 용역의 제공과 그 대가의 지급을 동시에 이행할 수 있도록 금융회사 또는 전자금융업자 가 발행한 증표(자금을 융통받을 수 있는 증표를 제외한다) 또는 그 증표에 관한 정보를 말한다. 14. “선불전자지급수단”이라 함은 이전 가능한 금전적 가치가 전자적 방법으로 저장되어 발행된 증표(전자적 방법 으로 변환되어 저장된 증표를 포함한다) 또는 그 증표에 관한 정보로서 발행인(대통령령으로 정하는 특수관계인 을 포함한다) 외의 제3자로부터 재화 또는 용역을 구입하고 그 대가를 지급하는데 사용되는 것을 말한다. 다만, 전자화폐를 제외한다. 가. 삭제<2023. 9. 14.> 나. 삭제<2023. 9. 14.> 15. “전자화폐”라 함은 이전 가능한 금전적 가치가 전자적 방법으로 저장되어 발행된 증표 또는 그 증표에 관한 정 보로서 다음 각 목의 요건을 모두 갖춘 것을 말한다. 가. 대통령령이 정하는 기준 이상의 지역 및 가맹점에서 이용될 것 나. 제14호 가목의 요건을 충족할 것 다. 구입할 수 있는 재화 또는 용역의 범위가 5개 이상으로서 대통령령이 정하는 업종 수 이상일 것 라. 현금 또는 예금과 동일한 가치로 교환되어 발행될 것 마. 발행자에 의하여 현금 또는 예금으로 교환이 보장될 것 16. “전자채권”이라 함은 다음 각 목의 요건을 갖춘 전자문서에 기재된 채권자의 금전채권을 말한다. 가. 채무자가 채권자를 지정할 것 나. 전자채권에 채무의 내용이 기재되어 있을 것 다. 「전자서명법」
제2조제2호	[]	REGULATION	전자서명		존재	전자서명	MANDATORY	제2조제2호에 따른 전자서명(서명자의 실지명의를 확인할 수 있는 것을 말한다)이 있을 것 라. 금융회사를 거쳐
제29조제1항	[None, None, 29, 1]	DEFINITION	전자채권관리기관		등록		MANDATORY	제29조제1항의 규정에 따른 전자채권관리기관(이하 “전자채권관리기관”이라 한다)에 등록될 것 마. 채무자가 채권자에게 가목 내지 다목의 요건을 모두 갖춘 전자문서를 「전자문서 및 전자거래 기본법」
제6조 제1항	[None, None, 6, 1]	REGULATION	송신	채권자	송신			제6조 제1항에 따라 송신하고 채권자가 이를 같은 법
제6조제2항	[]	DEFINITION	용어 정의				DEFINITIONAL	제6조제2항의 규정에 따라 수신할 것 17. “거래지시”라 함은 이용자가 전자금융거래계약에 따라 금융회사 또는 전자금융업자에게 전자금융거래의 처리를 지시하는 것을 말한다. 18. “오류”라 함은 이용자의 고의 또는 과실 없이 전자금융거래가 전자금융거래계약 또는 이용자의 거래지시에 따라 이행되지 아니한 경우를 말한다. 19. “전자지급결제대행”이라 함은 전자적 방법으로 재화의 구입 또는 용역의 이용에 있어서 지급결제정보를 송신하거나 수신하는 것 또는 그 대가의 정산을 대행하거나 매개하는 것을 말한다. 20. “가맹점”이란 다음 각 목의 자를 말한다. 가. 금융회사 또는 전자금융업자와의 계약에 따라 직불전자지급수단이나 선불전자지급수단 또는 전자화폐에 의한 거래에 있어서 이용자에게 재화 또는 용역을 제공하는 자 나. 금융회사 또는 전자금융업자와의 계약에 따라 이용자에게 재화 또는 용역을 제공하는 자를 위하여 직불전자 지급수단이나 선불전자지급수단 또는 전자화폐에 의한 거래를 대행하는 자로서 대통령령으로 정하는 자 법제처 3 국가법령정보센터 전자금융거래법 21. “전자금융기반시설”이란 전자금융거래에 이용되는 정보처리시스템 및 「정보통신망 이용촉진 및 정보보호 등에 관한 법률」
제2조제1항제1호	[]	DEFINITION	전자적 침해행위		말한다	전자적 침해행위	DEFINITIONAL	제2조제1항제1호에 따른 정보통신망을 말한다. 22. “전자적 침해행위”란 해킹, 컴퓨터 바이러스, 논리폭탄, 메일폭탄, 서비스 거부 또는 고출력 전자기파 등의 방법 으로 전자금융기반시설을 공격하는 행위를 말한다.
제2조	[]	DEFINITION	용어 정의				DEFINITIONAL	제2조(정의) 이 법에서 사용하는 용어의 정의는 다음과 같다. <개정 2007. 4. 27., 2008. 2. 29., 2012. 3. 21., 2012. 6. 1., 2013. 5. 22., 2020. 6. 9., 2023. 9. 14., 2025. 12. 16.> 1. “전자금융거래”라 함은 금융회사 또는 전자금융업자가 전자적 장치를 통하여 금융상품 및 서비스를 제공(이하 “전자금융업무”라 한다)하고, 이용자가 금융회사 또는 전자금융업자의 종사자와 직접 대면하거나 의사소통을 하지 아니하고 자동화된 방식으로 이를 이용하는 거래를 말한다. 2. “전자지급거래”라 함은 자금을 주는 자(이하 “지급인”이라 한다)가 금융회사 또는 전자금융업자로 하여금 전자지급수단을 이용하여 자금을 받는 자(이하 “수취인”이라 한다)에게 자금을 이동하게 하는 전자금융거래를 말한다. 3. “금융회사”란 다음 각 목의 어느 하나에 해당하는 기관이나 단체 또는 사업자를 말한다. 가. 「금융위원회의 설치 등에 관한 법률」
제38조	[]	DEFINITION	전자금융업자				DEFINITIONAL	제38조제1호부터 제5호까지, 제7호 및 제8호에 해당하는 기관 나. 「여신전문금융업법」에 따른 여신전문금융회사 다. 「우체국예금ㆍ보험에 관한 법률」에 따른 체신관서 라. 「새마을금고법」에 따른 새마을금고 및 새마을금고중앙회 마. 그 밖에 법률의 규정에 따라 금융업 및 금융 관련 업무를 행하는 기관이나 단체 또는 사업자로서 대통령령이 정하는 자 4. “전자금융업자”라 함은
제28조	[]	DEFINITION	전자금융보조업자				DEFINITIONAL	제28조의 규정에 따라 허가를 받거나 등록을 한 자(금융회사는 제외한다)를 말한다. 5. “전자금융보조업자”라 함은 금융회사 또는 전자금융업자를 위하여 전자금융거래를 보조하거나 그 일부를 대행하는 업무를 행하는 자 또는 결제중계시스템의 운영자로서 「금융위원회의 설치 등에 관한 법률」
