subject,relation,relation_category,object,article_number,confidence,concepts,created_at
목적,정의함,LOGICAL,이 법은 전자금융거래의 법률관계를 명확히 하고 전자금융거래의 안전성과 신뢰성을 확보함과 아울러 전자금융업의 건전한 발전을 위한 기반조성을 함으로써 국민의 금융편의를 꾀하고 국민경제의 발전에 이바지함,제1조,0.96,전자금융거래|법률관계|안전성|신뢰성|금융편의|국민경제 발전,2026-04-16
전자금융거래,정의함,LOGICAL,"금융회사 또는 전자금융업자가 전자적 장치를 통하여 금융상품 및 서비스를 제공하고, 이용자가 금융회사 또는 전자금융업자의 종사자와 직접 대면하거나 의사소통을 하지 아니하고 자동화된 방식으로 이를 이용하는 거래",제2조,0.99,정의|전자금융거래,2026-04-16
전자지급거래,정의함,LOGICAL,자금을 주는 자(지급인)가 금융회사 또는 전자금융업자로 하여금 전자지급수단을 이용하여 자금을 받는 자(수취인)에게 자금을 이동하게 하는 전자금융거래,제2조,0.99,정의|전자지급거래,2026-04-16
금융회사,정의함,LOGICAL,다음 각 목의 어느 하나에 해당하는 기관이나 단체 또는 사업자(예: 「금융위원회의 설치 등에 관한 법률」에 따른 기관 등),제2조,0.98,정의|금융회사,2026-04-16
전자금융업자,정의함,LOGICAL,"제38조제1호부터 제5호까지, 제7호 및 제8호에 해당하는 기관 및 그 밖에 법률의 규정에 따라 금융업 및 금융 관련 업무를 행하는 기관이나 단체 또는 사업자로서 대통령령이 정하는 자",제38조제4항,1.0,정의,2026-04-16
전자금융보조업자,정의함,LOGICAL,제28조의 규정에 따라 허가를 받거나 등록을 한 자(금융회사는 제외한다),제28조,0.99,허가|등록|금융회사|제28조,2026-04-16
전자금융보조업자,정의함,LOGICAL,금융회사 또는 전자금융업자를 위하여 전자금융거래를 보조하거나 그 일부를 대행하는 업무를 행하는 자 또는 결제중계시스템의 운영자,제28조,0.98,금융회사|전자금융업자|전자금융거래|결제중계시스템,2026-04-16
전자금융보조업자,예외로함,LOGICAL,금융회사,제28조,0.95,금융회사|제28조,2026-04-16
금융위원회가 정하는 자,정의함,LOGICAL,제3조에 따른 금융위원회(이하 “금융위원회”라 한다)가 정하는 자,제3조,1.0,정의|용어,2026-04-16
결제중계시스템,정의함,LOGICAL,금융회사와 전자금융업자 사이에 전자금융거래정보를 전달하여 자금정산 및 결제에 관한 업무를 수행하는 금융정보처리운영체계,제3조,1.0,정의|용어,2026-04-16
이용자,정의함,LOGICAL,전자금융거래를 위하여 금융회사 또는 전자금융업자와 체결한 계약(이하 “전자금융거래계약”이라 한다)에 따라 전자금융거래를 이용하는 자,제3조,1.0,정의|용어,2026-04-16
전자적 장치,정의함,LOGICAL,"전자금융거래정보를 전자적 방법으로 전송하거나 처리하는데 이용되는 장치로서 현금자동 지급기, 자동입출금기, 지급용단말기, 컴퓨터, 전화기 그 밖에 전자적 방법으로 정보를 전송하거나 처리하는 장치",제3조,1.0,정의|용어,2026-04-16
전자문서,정의함,LOGICAL,「전자문서 및 전자거래 기본법」에 따라 정의된 전자문서,제3조,1.0,정의|용어,2026-04-16
